,ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
0,1.0,8.0,RIV,10.0,R,0.0,R,1.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
1,2.0,8.0,RIV,10.0,R,1.0,R,2.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
2,3.0,8.0,RIV,10.0,R,2.0,R,3.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
3,4.0,8.0,RIV,10.0,R,3.0,R,4.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,X,,,,,75.0,63.0
4,5.0,8.0,RIV,10.0,R,4.0,R,5.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
5,6.0,8.0,RIV,10.0,R,5.0,R,6.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,,X,,,,50.0,38.0
6,7.0,8.0,RIV,10.0,R,6.0,,7.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
7,16.0,8.0,RIV,10.0,,29.0,,30.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,,X,,,,,50.0,50.0
8,17.0,8.0,RIV,10.0,,30.0,,31.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
9,18.0,8.0,RIV,10.0,,31.0,,32.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
10,19.0,8.0,RIV,10.0,,32.0,,33.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
11,20.0,8.0,RIV,10.0,,33.0,,34.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
12,21.0,8.0,RIV,10.0,,34.0,,35.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
13,22.0,8.0,RIV,10.0,,35.0,,36.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
14,23.0,8.0,RIV,10.0,,36.0,,37.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
15,24.0,8.0,RIV,10.0,,37.0,,38.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
16,25.0,8.0,RIV,10.0,,38.0,,39.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
17,26.0,8.0,RIV,10.0,,39.0,,40.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
18,27.0,8.0,RIV,10.0,,40.0,,41.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
19,28.0,8.0,RIV,10.0,,41.0,,42.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
20,29.0,8.0,RIV,10.0,,42.0,,43.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
21,30.0,8.0,RIV,10.0,,43.0,,44.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,X,,,,,75.0,63.0
22,31.0,8.0,RIV,10.0,,44.0,,45.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
23,32.0,8.0,RIV,10.0,,45.0,,46.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
24,33.0,8.0,RIV,10.0,,46.0,,47.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
25,34.0,8.0,RIV,10.0,,47.0,,48.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
26,35.0,8.0,RIV,10.0,,48.0,,49.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,X,,,,,75.0,63.0
