,ID,DIST,CO,RTE,PF1,BEGPM,Prefi1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
0,1.0,9.0,KER,58.0,,77.0,,78,1.0,,9.0,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
1,2.0,9.0,KER,58.0,,78.0,,79,1.0,,9.0,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
2,3.0,9.0,KER,58.0,,79.0,,80,1.0,,9.0,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
3,4.0,9.0,KER,58.0,,80.0,,81,1.0,,9.0,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0
4,5.0,9.0,KER,58.0,,81.0,,82,1.0,,9.0,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
5,6.0,9.0,KER,58.0,,82.0,,83,,,,,,,FY23/Q3,,X,,,,X,,,,,75.0
6,7.0,9.0,KER,58.0,R,83.0,R,84,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
7,8.0,9.0,KER,58.0,R,84.0,R,85,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
8,9.0,9.0,KER,58.0,R,85.0,R,86,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
9,10.0,9.0,KER,58.0,R,86.0,R,87,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
10,11.0,9.0,KER,58.0,R,87.0,R,88,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
11,12.0,9.0,KER,58.0,R,88.0,R,89,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
12,13.0,9.0,KER,58.0,R,89.0,R,90,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
13,14.0,9.0,KER,58.0,R,90.0,R,91,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
14,15.0,9.0,KER,58.0,R,91.0,R,92,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75.0
15,16.0,9.0,KER,58.0,R,92.0,R,93,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
16,17.0,9.0,KER,58.0,R,93.0,R,94,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
17,18.0,9.0,KER,58.0,R,94.0,R,95,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
18,19.0,9.0,KER,58.0,R,95.0,R,96,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
19,20.0,9.0,KER,58.0,R,96.0,R,97,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
20,21.0,9.0,KER,58.0,R,97.0,R,98,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
21,22.0,9.0,KER,58.0,R,98.0,R,99,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
22,23.0,9.0,KER,58.0,R,99.0,R,100,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
23,24.0,9.0,KER,58.0,R,100.0,R,101,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
24,25.0,9.0,KER,58.0,R,101.0,R,102,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
25,26.0,9.0,KER,58.0,,102.0,,103,,,,,,,FY23/Q3,X,,,,,X,,,,,100.0
26,27.0,9.0,KER,58.0,,103.0,,104,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
27,28.0,9.0,KER,58.0,,104.0,,105,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
28,29.0,9.0,KER,58.0,,105.0,,106,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
29,30.0,9.0,KER,58.0, ,106.0,R,107,,,,,,,FY23/Q3,X,,,,,X,,,,,100.0
30,31.0,9.0,KER,58.0,R,107.0,M,108,,,,,,,FY23/Q3,X,,,,,X,,,,,100.0
31,32.0,9.0,KER,58.0,M,108.0,M,109,,,,,,,FY23/Q3,X,,,,,X,,,,,100.0
32,33.0,9.0,KER,58.0,M,109.0,M,110,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
33,34.0,9.0,KER,58.0,M,110.0,M,111,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
34,35.0,9.0,KER,58.0,M,111.0,M,112,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
35,36.0,9.0,KER,58.0,M,112.0,M,113,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
36,37.0,9.0,KER,58.0,M,113.0,M,114,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
37,38.0,9.0,KER,58.0,M,114.0,M,115,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
38,39.0,9.0,KER,58.0,M,115.0,M,116,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
39,40.0,9.0,KER,58.0,M,116.0,M,117,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
40,41.0,9.0,KER,58.0,M,117.0,R,118,,,,,,,FY23/Q3,X,,,,,X,,,,,100.0
41,42.0,9.0,KER,58.0,R,118.0,R,119,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
42,43.0,9.0,KER,58.0,R,119.0,R,120,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
43,44.0,9.0,KER,58.0,R,120.0,R,121,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
44,45.0,9.0,KER,58.0,R,121.0,R,122,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
45,46.0,9.0,KER,58.0,R,122.0,R,123,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
46,47.0,9.0,KER,58.0,R,123.0,R,124,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
47,48.0,9.0,KER,58.0,R,124.0,R,125,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
48,49.0,9.0,KER,58.0,R,125.0,R,126,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
49,50.0,9.0,KER,58.0,R,126.0,R,127,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
50,51.0,9.0,KER,58.0,R,127.0,R,128,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
51,52.0,9.0,KER,58.0,R,128.0,R,129,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
52,53.0,9.0,KER,58.0,R,129.0,R,130,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
53,54.0,9.0,KER,58.0,R,130.0,R,131,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
54,55.0,9.0,KER,58.0,R,131.0,R,132,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
55,56.0,9.0,KER,58.0,R,132.0,R,133,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
56,57.0,9.0,KER,58.0,R,133.0,R,134,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
57,58.0,9.0,KER,58.0,R,134.0,R,135,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
58,59.0,9.0,KER,58.0,R,135.0,R,136,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
59,60.0,9.0,KER,58.0,R,136.0,R,137,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
60,61.0,9.0,KER,58.0,R,137.0,R,138,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
61,62.0,9.0,KER,58.0,R,138.0,R,139,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
62,63.0,9.0,KER,58.0,R,139.0,R,140,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
63,64.0,9.0,KER,58.0,R,140.0,R,141,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100.0
64,65.0,9.0,KER,58.0,R,141.0,R,142,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
66,66.0,9.0,KER,202.0,R,2.0,R,,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
67,67.0,9.0,KER,202.0,R,3.0,R,4,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
68,68.0,9.0,KER,202.0,R,4.0,R,5,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75.0
69,69.0,9.0,KER,202.0,R,5.0,R,6,1.0,,9.0,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
70,70.0,9.0,KER,202.0,R,6.0,R,7,,,,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100.0
