co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
ALA-13.0,37.5,12.5,44.0,50.0,69.0,19.0,94.0,31.5,75.0,69.0,56.5,38.0
ALA-185.0,25.0,37.5,31.5,25.0,62.5,37.5,56.5,19.0,0.0,13.0,13.0,0.0
ALA-238.0,50.0,87.5,81.5,75.0,69.0,94.0,87.5,62.5,56.5,56.5,62.5,56.5
ALA-24.0,50.0,41.666666666666664,42.0,71.0,50.0,42.0,88.0,46.0,46.0,46.0,12.666666666666666,17.0
ALA-580.0,29.545454545454547,31.818181818181817,51.90909090909091,61.59090909090909,54.81818181818182,54.18181818181818,75.72727272727273,50.36363636363637,28.636363636363637,20.09090909090909,42.86363636363637,43.18181818181818
ALA-680.0,60.0,65.0,90.2,65.2,70.0,60.2,82.8,50.2,57.8,32.8,70.4,60.2
ALA-80.0,12.5,62.5,44.0,81.5,31.5,38.0,75.5,75.0,50.0,38.0,50.0,50.0
ALA-84.0,37.5,0.0,44.0,63.0,44.0,31.5,56.5,19.0,37.5,56.5,56.5,6.5
ALA-880.0,32.142857142857146,8.928571428571429,74.35714285714286,57.42857142857143,38.642857142857146,25.071428571428573,35.92857142857143,23.357142857142858,18.071428571428573,39.42857142857143,30.571428571428573,48.214285714285715
ALA-92.0,25.0,12.5,63.0,50.5,25.0,19.0,56.5,12.5,6.5,6.5,31.5,25.0
ALA-980.0,25.0,25.0,25.0,50.0,13.0,50.0,38.0,0.0,0.0,0.0,25.0,0.0
CC-24.0,71.42857142857143,78.57142857142857,96.57142857142857,84.28571428571429,75.28571428571429,92.85714285714286,93.14285714285714,91.28571428571429,57.285714285714285,77.0,71.57142857142857,70.0
CC-242.0,37.5,12.5,94.0,44.0,63.0,50.0,44.0,44.0,13.0,44.0,38.0,25.0
CC-4.0,63.888888888888886,52.77777777777778,93.11111111111111,80.88888888888889,71.22222222222223,62.77777777777778,76.55555555555556,68.33333333333333,62.77777777777778,58.666666666666664,53.0,30.88888888888889
CC-580.0,0.0,25.0,13.0,50.0,0.0,25.0,25.0,0.0,13.0,0.0,0.0,0.0
CC-680.0,62.5,31.25,82.5,81.41666666666667,79.5,73.0,66.83333333333333,70.91666666666667,49.166666666666664,59.5,60.666666666666664,58.583333333333336
CC-80.0,25.0,25.0,54.333333333333336,46.0,54.333333333333336,37.666666666666664,46.0,33.666666666666664,33.666666666666664,8.666666666666666,4.333333333333333,0.0
MRN-101.0,89.58333333333333,93.75,100.0,89.75,73.08333333333333,81.5,92.91666666666667,78.5,80.33333333333333,88.83333333333333,94.0,92.83333333333333
MRN-580.0,75.0,50.0,100.0,75.0,50.0,75.0,75.0,50.0,50.0,50.0,63.0,88.0
SCL-101.0,37.5,42.04545454545455,66.22727272727273,59.95454545454545,43.45454545454545,57.59090909090909,44.54545454545455,40.59090909090909,19.0,41.77272727272727,59.31818181818182,81.81818181818181
SCL-17.0,50.0,25.0,87.71428571428571,71.71428571428571,71.57142857142857,64.42857142857143,89.28571428571429,66.42857142857143,50.142857142857146,53.714285714285715,84.28571428571429,68.0
SCL-237.0,37.5,50.0,84.375,72.125,67.375,55.0,45.5,40.75,29.875,47.0,42.375,71.875
SCL-280.0,31.25,29.166666666666668,50.333333333333336,73.16666666666667,60.583333333333336,48.166666666666664,57.666666666666664,50.166666666666664,34.666666666666664,45.0,72.16666666666667,62.666666666666664
SCL-680.0,50.0,33.333333333333336,55.666666666666664,47.55555555555556,29.444444444444443,65.44444444444444,51.55555555555556,30.88888888888889,9.88888888888889,18.22222222222222,32.111111111111114,41.666666666666664
SCL-85.0,54.166666666666664,61.111111111111114,80.16666666666667,76.61111111111111,67.72222222222223,78.72222222222223,91.11111111111111,41.166666666666664,44.05555555555556,61.388888888888886,80.05555555555556,76.38888888888889
SCL-87.0,12.5,37.5,69.0,25.5,0.0,31.5,19.0,56.5,13.0,50.0,81.5,69.0
SCL-880.0,37.5,10.0,41.6,58.9,24.0,39.1,16.5,35.2,27.7,30.3,60.3,65.0
SM-1.0,60.0,100.0,87.6,67.8,82.8,90.2,100.0,72.8,72.8,82.8,100.0,95.2
SM-101.0,66.66666666666667,25.0,87.66666666666667,50.0,54.666666666666664,66.66666666666667,75.33333333333333,50.0,42.0,42.0,83.66666666666667,91.66666666666667
SM-280.0,32.142857142857146,57.142857142857146,73.42857142857143,64.42857142857143,66.14285714285714,84.0,94.71428571428571,91.14285714285714,94.71428571428571,94.85714285714286,89.42857142857143,94.85714285714286
SM-35.0,87.5,100.0,100.0,81.5,100.0,100.0,100.0,69.0,100.0,81.5,69.0,88.0
SM-92.0,37.5,25.0,56.5,63.0,56.5,94.0,100.0,81.5,37.5,94.0,100.0,100.0
SOL-37.0,25.0,0.0,100.0,63.0,63.0,38.0,75.0,25.0,13.0,13.0,25.0,38.0
SOL-680.0,70.0,25.0,87.7,88.9,74.0,50.2,71.5,75.2,36.6,34.0,82.8,65.0
SOL-780.0,70.0,35.0,92.6,90.2,90.2,65.2,100.0,75.2,77.6,35.2,67.6,70.4
SOL-80.0,50.0,50.0,100.0,75.0,75.0,100.0,100.0,100.0,63.0,100.0,100.0,50.0
SON-101.0,62.5,95.83333333333333,89.83333333333333,91.83333333333333,79.33333333333333,85.83333333333333,96.0,83.5,83.5,89.83333333333333,100.0,100.0
