SegID,ORDER,DIST,CO,RTE,PREFIX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,,1,LAK,53,,0,,1,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
2,,1,LAK,53,,1,,2,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
3,,1,LAK,53,,2,,3,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
4,,1,LAK,53,,3,,4,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
5,,1,LAK,53,,4,,5,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
6,,1,LAK,53,,5,,6,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
7,,1,LAK,53,,6,,7,1,,1,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,HUM,101,,55,,56,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
9,,1,HUM,101,,56,,57,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
10,,1,HUM,101,,57,,58,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
11,,1,HUM,101,,58,,59,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
12,,1,HUM,101,,59,,60,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
13,,1,HUM,101,,60,,61,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
14,,1,HUM,101,,61,,62,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
15,,1,HUM,101,,62,,63,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
16,,1,HUM,101,,63,,64,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
17,,1,HUM,101,,64,,65,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1,HUM,101,,73,,74,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
19,,1,HUM,101,,74,,75,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
20,,1,HUM,101,,75,,76,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
21,,1,HUM,101,,76,,77,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,,X,,,X,X,,,,,75,88
22,,1,HUM,101,,77,,78,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,,X,,,X,X,,,,,75,88
23,,1,HUM,101,,78,,79,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
24,,1,HUM,101,,79,,80,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,,X,,,X,X,,,,,75,88
25,,1,HUM,101,,80,,81,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
26,,1,HUM,101,,81,,82,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
27,,1,HUM,101,,82,,83,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
