ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,10,MER,5,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
2,10,MER,5,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
3,10,MER,5,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
4,10,MER,5,,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
5,10,MER,5,,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
6,10,MER,5,,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
7,10,MER,5,,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
8,10,MER,5,,15,,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
9,10,MER,5,,16,,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
10,10,MER,5,,17,,18,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
11,10,MER,5,,18,,19,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
12,10,MER,5,,19,,20,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
13,10,MER,5,,20,,21,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
14,10,MER,5,,21,,22,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
15,10,MER,5,,22,,23,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
16,10,MER,5,,23,,24,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
17,10,MER,5,,24,,25,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
18,10,MER,5,,25,,26,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
