HQ Id,District/LOS,CO,RTE,Prefi1,BPM,Prefi1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
6,11,SD,5,,5,,6,SoCst-5,FY23/Q3,,x,,,x,,x,,,x,50,,X,,,X,,X,,,X,50,50
7,11,SD,5,,6,,7,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75
8,11,SD,5,,7,,8,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88
9,11,SD,5,,8,,9,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,,X,,,X,50,63
10,11,SD,5,,9,,10,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
11,11,SD,5,,10,,11,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
12,11,SD,5,,11,,12,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
13,11,SD,5,,12,,13,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75
14,11,SD,5,,13,,14,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
15,11,SD,5,,14,,15,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,,X,,,X,50,63
16,11,SD,5,,15,,16,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,,X,,,X,50,75
17,11,SD,5,,16,,17,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,,X,,,X,50,75
18,11,SD,5,,17,,18,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
19,11,SD,5,,18,,19,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88
20,11,SD,5,,19,,20,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11,SD,5,,20,,21,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88
22,11,SD,5,,21,,22,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
23,11,SD,5,,22,,23,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
24,11,SD,5,,23,,24,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
25,11,SD,5,,24,,25,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
26,11,SD,5,,25,,26,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
