ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,12,ORA,1,,5,,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
2,12,ORA,1,,6,,7,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
3,12,ORA,1,,7,,8,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
4,12,ORA,1,,8,,9,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
5,12,ORA,1,,9,,10,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
7,12,ORA,1,,11,,12,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
8,12,ORA,1,,12,,13,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
9,12,ORA,1,,13,,14,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
10,12,ORA,1,,17,,18,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
11,12,ORA,1,,18,,19,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
12,12,ORA,1,,19,,20,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
13,12,ORA,1,,20,,21,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
14,12,ORA,1,,21,,22,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
15,12,ORA,1,,22,,23,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
16,12,ORA,1,,23,,24,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
17,12,ORA,1,,24,,25,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
18,12,ORA,1,,25,,26,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
19,12,ORA,1,,26,,27,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
20,12,ORA,1,,27,,28,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
21,12,ORA,1,,28,,29,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
22,12,ORA,1,,29,,30,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
23,12,ORA,1,,30,,31,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
24,12,ORA,1,,31,,32,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
