ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,3,COL,5,R,0,R,1,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
2,3,COL,5,R,1,R,2,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
3,3,COL,5,R,2,R,3,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
4,3,COL,5,R,3,R,4,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
5,3,COL,5,R,4,R,5,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
6,3,COL,5,R,5,R,6,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
7,3,COL,5,R,6,R,7,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
8,3,COL,5,R,7,R,8,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
9,3,COL,5,R,8,R,9,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
10,3,COL,5,R,9,R,10,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
11,3,COL,5,R,10,R,11,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
12,3,COL,5,R,11,R,12,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
13,3,COL,5,R,12,R,13,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
14,3,COL,5,R,13,R,14,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
15,3,COL,5,R,14,R,15,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
16,3,COL,5,R,15,R,16,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
17,3,COL,5,R,16,R,17,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
