ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,4,ALA,13,,5,,6,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
2,4,ALA,13,,6,,7,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
3,4,ALA,13,,7,,8,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
4,4,ALA,13,,8,,9,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,ALA,24,R,2,R,3,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
6,4,ALA,24,R,3,R,4,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88
7,4,ALA,24,R,4,R,5,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,ALA,80,,4,,5,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,X,75,63
9,4,ALA,80,,5,,6,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
11,4,ALA,80,,7,,8,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,ALA,84,R,4,R,5,NoCst-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
13,4,ALA,84,R,5,R,6,NoCst-4,FY23/Q3,,,x,,x,,x,,,,25,,,x,,X,X,,,,,50,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,ALA,92,R,4,R,5,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
15,4,ALA,92,R,5,R,6,NoCst-5,FY23/Q3,,x,,,,,,x,,x,25,X,,,,,,X,,,,75,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,ALA,185,,7,,8,NoCst-3,FY23/Q3,,,x,,x,,x,,,,25,X,,,,,,X,,,,75,50
17,4,ALA,185,,8,,9,NoCst-3,FY23/Q3,,x,,,,,,x,,x,25,X,,,,,X,,,,,100,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,ALA,238,,2,,3,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
20,4,ALA,238,,15,,16,NoCst-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,ALA,580,,11,,12,InVal-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
22,4,ALA,580,,12,,13,InVal-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
23,4,ALA,580,,13,,14,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
24,4,ALA,580,,14,,15,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
25,4,ALA,580,,15,,16,InVal-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
26,4,ALA,580,,17,,18,InVal-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
27,4,ALA,580,,18,,19,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
28,4,ALA,580,,19,,20,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
29,4,ALA,580,R,25,,26,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
30,4,ALA,580,,27,,28,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
31,4,ALA,580,,28,,29,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,X,,,,,50,50
32,4,ALA,580,R,29,,30,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,X,,,,,,X,,,,75,50
33,4,ALA,580, ,30,M,31,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,,,X,,,,50,63
35,4,ALA,580,,33,,34,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,X,,,,,50,63
36,4,ALA,580,,34,,35,NoCst-5,FY23/Q3,,,x,,,x,,,,,50,X,,,,,X,,,,,100,75
37,4,ALA,580, ,35,,36,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
38,4,ALA,580,R,36,,37,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,x,,,,,X,,,,,100,100
39,4,ALA,580,R,40,,41,NoCst-5,FY23/Q3,,,x,,x,x,,,,,50,,,X,,X,X,,,,,50,50
40,4,ALA,580,,41,,42,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
41,4,ALA,580,,42,,43,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,,X,,,,X,,,,25,50
42,4,ALA,580,,43,,44,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
43,4,ALA,580,,44,,45,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,X,,,X,,X,,,,50,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,ALA,680,M,0,,1,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,,,X,,X,25,63
45,4,ALA,680,,1,,2,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,,X,,,,X,,,,25,63
46,4,ALA,680,,2,,3,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
47,4,ALA,680,,3,,4,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
48,4,ALA,680,M,4,M,5,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
56,4,ALA,680,R,19,,20,InVal-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,,X,,,,,75,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,ALA,880, ,3,,4,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,,,X,,,50,63
58,4,ALA,880,,4,,5,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,X,,,,,75,63
59,4,ALA,880,,5,,6,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0,,X,,,,,,X,,X,25,13
60,4,ALA,880,,6,,7,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0,X,,,,,,,X,,X,50,25
61,4,ALA,880,,7,,8,NoCst-5,FY23/Q3,,,x,,x,x,,,,,50,,,X,,,X,,,,,50,50
62,4,ALA,880,,13,,14,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
63,4,ALA,880,,14,,15,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,,,X,,,,50,63
64,4,ALA,880,,15,,16,NoCst-5,FY23/Q3,,x,,,,,,x,,x,25,,,X,,,,,X,,,0,13
65,4,ALA,880,,16,,17,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,,X,,,0,0
66,4,ALA,880,,17,,18,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,X,,,,25,13
67,4,ALA,880,,23,,24,NoCst-5,FY23/Q3,,,X,,,,x,,,,25,,,X,,,,,X,,,0,13
68,4,ALA,880,,24,,25,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,X,,,,25,25
69,4,ALA,880,,25,,26,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,X,,X,,,,25,25
70,4,ALA,880,,26,,27,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
71,4,ALA,880,,27,,28,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25
72,4,ALA,880,,30,,31,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,X,,,,,75,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4,ALA,980,,1,,2,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,X,,X,,,,25,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4,CC,4,,0,,1,NoCst-4,FY23/Q3,,,x,,,,,x,,,0,,,x,,,,,X,,,0,0
75,4,CC,4,,1,,2,NoCst-4,FY23/Q3,,,x,,,x,,,,,50,,,x,,,,X,,,,25,38
76,4,CC,4,,2,,3,NoCst-4,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25
77,4,CC,4,,3,,4,NoCst-4,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25
78,4,CC,4,R,4,R,5,NoCst-4,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,,X,,,0,13
79,4,CC,4,R,9,,10,InVal-4,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
80,4,CC,4,,10,,11,InVal-4,FY23/Q3,x,,,,,x,,,,,100,,X,,,,,X,,,,50,75
81,4,CC,4,,11,,12,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
82,4,CC,4,,12,,13,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,X,50,50
83,4,CC,4,,13,,14,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,,X,,X,X,,,,,50,50
84,4,CC,4,,14,,15,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
85,4,CC,4,,15,R,16,InVal-4,FY23/Q3,x,,,,,x,,,,,100,,,X,,,X,,,,,50,75
86,4,CC,4,R,19,,20,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
87,4,CC,4,,20,,21,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
88,4,CC,4,,22,,23,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
89,4,CC,4,,23,,24,InVal-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
90,4,CC,4,,24,,25,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4,CC,24,R,0,,1,InVal-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
92,4,CC,24,,1,,2,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
93,4,CC,24,,2,,3,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
94,4,CC,24,,3,,4,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
95,4,CC,24,,4,,5,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
96,4,CC,24,,5,,6,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
97,4,CC,24,,6,,7,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
98,4,CC,24,,7,R,8,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,CC,80,,0,,1,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,X,,X,,,X,50,63
100,4,CC,80,,1,,2,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
101,4,CC,80,,2,,3,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,,X,,,,,X,,,0,38
102,4,CC,80,,3,,4,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,,X,,X,,,X,,X,0,13
103,4,CC,80,,4,,5,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,X,,,X,,,X,,,25,50
104,4,CC,80,,5,,6,NoCst-5,FY23/Q3,x,,,,,,,x,,,50,,,X,,X,,X,,,,25,38
105,4,CC,80,,6,,7,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,,X,,,50,50
106,4,CC,80,,7,,8,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,,,X,,,25,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4,CC,242,R,1,,2,InVal-5,FY23/Q3,,,x,,x,,,x,,x,0,,,X,,X,,,X,,X,0,0
108,4,CC,242,R,2,R,3,InVal-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,CC,580,,0,,1,NoCst-4,FY23/Q3,,x,,,x,,x,,,,50,,X,,,,X,,,,,75,63
110,4,CC,580,,1,,2,NoCst-4,FY23/Q3,x,,,,,,,x,,,50,X,,,,,,X,,,X,75,63
111,4,CC,580,,3,R,4,NoCst-4,FY23/Q3,,,x,,x,,,x,,x,0,X,,,,,,,X,,X,50,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,CC,680,R,0,,1,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
113,4,CC,680,,1,,2,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
