ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
1,6,FRE,5,,0,,1,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
2,6,FRE,5,,1,,2,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
3,6,FRE,5,,2,,3,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
4,6,FRE,5,,3,,4,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
5,6,FRE,5,,4,,5,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
6,6,FRE,5,,5,,6,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
7,6,FRE,5,,6,,7,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
8,6,FRE,5,,7,,8,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
9,6,FRE,5,,8,,9,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
10,6,FRE,5,,9,,10,1,,6,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,
11,6,FRE,41,R,18,R,19,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
12,6,FRE,41,R,19,R,20,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
13,6,FRE,41,R,20,R,21,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75
14,6,FRE,41,R,21,R,22,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,x,,,25
15,6,FRE,41,R,22,R,23,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,x,,,25
16,6,FRE,41,R,23,R,24,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25
17,6,FRE,41,R,24,R,25,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50
18,6,FRE,41,R,25,R,26,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50
19,6,FRE,41,R,26,R,27,1,,6,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100
