ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,LA,10,InVal-5,,30,,31,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
2,LA,10,InVal-5,,31,,32,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
3,LA,10,InVal-5,,32,,33,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
4,LA,10,InVal-5,,33,,34,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
5,LA,10,InVal-5,,34,,35,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
6,LA,10,InVal-5,,35,,36,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
7,LA,10,InVal-5,,36,,37,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
8,LA,10,InVal-5,,37,,38,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
9,LA,10,InVal-5,,38,,39,,FY23/Q3,1,,,,,,,1,,,50,X,,,,,,X,,,,75,63
10,LA,10,InVal-5,,39,,40,,FY23/Q3,,,1,,,,,1,,,0,X,,,,,,X,,,,75,38
11,LA,10,InVal-5,,40,,41,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
12,LA,10,InVal-5,,41,,42,,FY23/Q3,,,1,,,,1,,,,25,,X,,,,,X,,,,50,38
13,LA,10,InVal-5,,42,,43,,FY23/Q3,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38
14,LA,10,InVal-5,,43,,44,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LA,14,Des-5,R,58,,59,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
16,LA,14,Des-5,,59,,60,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
17,LA,14,Des-5,,60,,61,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
18,LA,14,Des-5,,61,,62,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
19,LA,14,Des-5,,64,,65,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
20,LA,14,Des-5,,65,,66,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LA,60,SoCst-5,R,22,,23,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
22,LA,60,SoCst-5,,23,,24,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
23,LA,60,SoCst-5,,24,,25,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
24,LA,60,SoCst-5,,25,,26,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
25,LA,60,SoCst-5,,27,,28,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
26,LA,60,SoCst-5,,28,,29,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
27,LA,60,SoCst-5,,29,,30,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LA,91,SoCst-5,R,7,R,8,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
29,LA,91,SoCst-5,R,8,R,9,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
30,LA,91,SoCst-5,R,14,R,15,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
31,LA,91,SoCst-5,R,17,R,18,,FY23/Q3,,,1,,,,1,,,,25,,X,,,,,X,,,,50,38
32,LA,91,SoCst-5,R,19,R,20,,FY23/Q3,,,1,,,,,1,,,0,,X,,,,,X,,,,50,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LA,110,SoCst-5,,6,,7,,FY23/Q3,,1,,,1,,,1,,1,25,,X,,,X,,,X,,X,25,25
34,LA,110,SoCst-5,,7,,8,,FY23/Q3,,1,,,,,,1,,,25,,X,,,,,X,,,X,50,38
35,LA,110,SoCst-5,,8,,9,,FY23/Q3,1,,,,,,,1,,,50,,X,,,,,X,,,,50,50
36,LA,110,SoCst-5,,9,,10,,FY23/Q3,1,,,,,,,1,,,50,,,X,,X,,X,,,,25,38
37,LA,110,SoCst-5,,10,,11,,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,X,,,,75,50
38,LA,110,SoCst-5,,11,,12,,FY23/Q3,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38
39,LA,110,SoCst-5,,12,,13,,FY23/Q3,,1,,,,,,1,,,25,,X,,,,,X,,,X,50,38
40,LA,110,SoCst-5,,13,,14,,FY23/Q3,1,,,,,,,1,,1,50,,X,,,X,,x,,,X,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LA,605,SoCst-5,R,5,,6,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
42,LA,605,SoCst-5,,6,,7,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
43,LA,605,SoCst-5,,7,,8,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,X,75,63
44,LA,605,SoCst-5,,8,,9,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
45,LA,605,SoCst-5,,9,,10,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
46,LA,605,SoCst-5,,10,R,11,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,VEN,101,SoCst-5,R,23,,24,,FY23/Q3, ,,1,,,,1,,,,50,,X,,,,,X,,,,50,50
48,VEN,101,SoCst-5,,24,,25,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50
49,VEN,101,SoCst-5,,25,,26,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,LA,1,SoCst-4,,35,,36,,FY23/Q3,,1,,,1,,1,,,,50,,X,,,X,,X,,,,50,50
51,LA,1,SoCst-4,,36,,37,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
52,LA,1,SoCst-4,,37,,38,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
53,LA,1,SoCst-4,,38,,39,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
54,LA,1,SoCst-4,,39,R,40,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
55,LA,1,SoCst-4,,40,,41,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
