ID,DIST,CO,RTE,PF1,BEGPM,Prefi1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
1,9,KER,58,,77,,78,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
2,9,KER,58,,78,,79,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
3,9,KER,58,,79,,80,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
4,9,KER,58,,80,,81,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75
5,9,KER,58,,81,,82,1,,9,District 6 - South Region,District 6 - South Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
6,9,KER,58,,82,,83,,,,,,,FY23/Q3,,X,,,,X,,,,,75
7,9,KER,58,R,83,R,84,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
8,9,KER,58,R,84,R,85,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
9,9,KER,58,R,85,R,86,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
10,9,KER,58,R,86,R,87,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
11,9,KER,58,R,87,R,88,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
12,9,KER,58,R,88,R,89,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
13,9,KER,58,R,89,R,90,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
14,9,KER,58,R,90,R,91,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
15,9,KER,58,R,91,R,92,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75
16,9,KER,58,R,92,R,93,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
