ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q3 Date Evaluated,"NB/EB
Rating","NB/EB
Comments","NB/EB
Encampments","NB/EB
Construction","SB/WB 
Rating","SB/WB
Comments","SB/WB
Encampments","SB/WB
Construction", LOS Score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q4 Date Evaluated,"NB/EB
Rating","NB/EB
Comments","NB/EB
Encampments","NB/EB
Construction","SB/WB 
Rating","SB/WB
Comments","SB/WB
Encampments","SB/WB
Construction", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score
1,10,MER,5,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY22/Q4,,1,,,,1,,,,,75,x,,,,,x,,,,,100,88,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,1,,,,,,1,,,25,,X,,,,,,X,,,25,25,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75,10/4/2023,,1,,,,M,1,,,,,M,75,10/10/2023,,X,,,,M,X,,,,,,75,75,1/17/2024,,1,,,,M,,1,,,,M,50,1/17/2024,X,,,,,,X,,,,,,100,75,4/15/2024,N2,M,,,P,,,,50,4/23/2024,,X,,,,M,X,,,,,,75,63,6/19/2024,N1,M,,,P,,,,75,,x,,,,,,x,,,,,,100,88
2,10,MER,5,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY22/Q4,,1,,,,1,,,,,75,x,,,,,x,,,,,100,88,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,1,,,,,,1,,,25,,X,,,,,,X,,,25,25,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,10/4/2023,1,,,,,,1,,,,,,100,,X,,,,,,X,,,,,,100,100,1/17/2024,1,,,,,,,1,,,,M,75,,X,,,,,,X,,,,,,100,88,4/15/2024,N1,,,,P,,,,75,,X,,,,,,X,,,,,,100,88,6/19/2024,P,,,,P,,,,100,,x,,,,,,x,,,,,,100,100
3,10,MER,5,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75,FY23/Q4,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,10/4/2023,1,,,,,,,1,,,,,75,,X,,,,,,X,,,,,,100,88,1/17/2024,,1,,,,M,,1,,,,M,50,,X,,,,,,,X,,,,M,75,63,4/15/2024,N1,M,,,N2,M,,,25,,X,,,,,,,X,,,,M,75,50,6/19/2024,N1,M,,,N1,M,,,50,,x,,,,,,,x,,,,m,75,63
4,10,MER,5,,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,,1,,,,1,,,,,75,x,,,,,x,,,,,100,88,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q4,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,10/4/2023,,1,,,,M,1,,,,,,75,,,X,,,,M,X,,,,,,75,75,1/17/2024,,1,,,,M,,1,,,,M,50,,,,X,,,RUBBER M,X,,,,,,50,50,4/15/2024,N2,M,,,N1,M,,,25,,,,X,,,M,X,,,,,,50,38,6/19/2024,N2,M,,,N1,M,,,25,,,,x,,,m,,x,,,,m-s,25,25
5,10,MER,5,,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75,FY23/Q4,,1,,,,1,,,,,75,,,X,,,X,,,,,50,63,10/4/2023,,1,,,,M,1,,,,,,75,,,X,,,,M,X,,,,,,75,75,1/17/2024,,,1,,,M,,1,,,,M,25,,,,X,,,RUBBER M,,X,,,,M,25,25,4/15/2024,N2,M,,,P,,,,50,,,,X,,,M,X,,,,,,50,50,6/19/2024,N2,M,,,P,,,,50,,,,x,,,m,x,,,,,,50,50
6,10,MER,5,,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75,FY22/Q4,,1,,,,1,,,,,75,x,,,,,,x,,,,75,75,FY23/Q1,,,1,,,,1,,,,25,,,X,,,,,X,,,0,13,FY23/Q2,,,1,,,,1,,,,25,,X,,,,,,X,,,25,25,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q4,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75,10/4/2023,,1,,,,B,1,,,,,,75,,X,,,,,,X,,,,,,100,88,1/17/2024,,1,,,,M,1,,,,,,75,,,,X,,,RUBBER M,X,,,,,,50,63,4/15/2024,N2,M,,,P,,,,50,,,,X,,,M,,X,,,,M,25,38,6/19/2024,N2,M,,,P,,,,50,,,,x,,,m,x,,,,,,50,50
7,10,MER,5,,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,1,,,,,1,,,,50,,,X,,,,,X,,,0,25,FY23/Q2,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75,FY23/Q4,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,10/4/2023,,1,,,,B,,1,,,,M,50,,X,,,,,,X,,,,,,100,75,1/17/2024,,1,,,,M,,1,,,,M,50,,,,X,,,RUBBER M,X,,,,,,50,50,4/15/2024,N1,M,,,N1,M,,,50,,,,X,,,M,,X,,,,R,25,38,6/19/2024,N1,M,,,N1,M,,,50,,,,x,,,m,x,,,,,,50,50
8,10,MER,5,,15,,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,,1,,,,1,,,,25,,X,,,,,,X,,,25,25,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63,FY23/Q4,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,10/4/2023,1,,,,,,1,,,,,,100,,X,,,,,,X,,,,,,100,100,1/17/2024,1,,,,,,,1,,,,M,75,,,,X,,,RUBBER M,X,,,,,,50,63,4/15/2024,N2,M,,,N1,M,,,25,,,,X,,,M,,,X,,,M,0,13,6/19/2024,N2,M,,,N1,M,,,25,,,,x,,,m,x,,,,,,50,38
9,10,MER,5,,16,,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,1,,,,,1,,,,50,X,,,,,,,X,,,50,50,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,10/4/2023,1,,,,,,1,,,,,,100,,X,,,,,,X,,,,,,100,100,1/17/2024,1,,,,,,,1,,,,M,75,,,,X,,,RUBBER M,,X,,,,M,25,50,4/15/2024,N1,M,,,P,,,,75,,,X,,,,M,X,,,,,,75,75,6/19/2024,N1,"M,S",,,P,,,,75,,x,,,,,,x,,,,,,100,88
10,10,MER,5,,17,,18,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,1,,,,,1,,,,,100,x,,,,,x,,,,,100,100,FY23/Q1,,,1,,,,1,,,,25,,X,,,,,,X,,,25,25,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,10/4/2023,1,,,,,,1,,,,,,100,,X,,,,,,X,,,,,,100,100,1/17/2024,,1,,,,B,,1,,,,B,50,,,,X,,,RUBBER MR,X,,,,,,50,50,4/15/2024,N2,S,,,N1,S,,,25,,X,,,,,,X,,,,,,100,63,6/19/2024,N1,S,,,P,,,,75,,,x,,,,s,x,,,,,,75,75
