ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments",RA LOS Score,Average LOS score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score
1,8,RIV,10,R,0,R,1,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75,FY23/Q1,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,X,,,,,,X,,,,,,100,6/10/2024,X,,,,,,X,,,,,,100,100
2,8,RIV,10,R,1,R,2,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,x,,,,x,,,,25,X,,,,,X,,,,,100,63,FY22/Q4,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75,FY23/Q1,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,,X,,,,L,X,,,,,,75,1/8/2024,,X,,,,CM,X,,,,,,75,75,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,X,,,,,,X,,,,,,100,6/10/2024,X,,,,,,X,,,,,,100,100
3,8,RIV,10,R,2,R,3,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75,FY22/Q4,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q1,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,,,x,,,right shoulder,x,,,,,,50,10/3/2023,,,X,,,RS,X,,,,,,50,50,1/10/2024,,X,,,,L,X,,,,,,75,1/8/2024,,X,,,,CM,X,,,,,,75,75,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,,X,,,,RS,X,,,,,,75,75
4,8,RIV,10,R,3,R,4,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,x,,,x,,,,,50,,X,,,,X,,,,,75,63,FY22/Q4,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50,FY23/Q1,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,,x,,,x,,,,,50,,X,,,,X,,,,,75,63,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,,X,,,,RS,75,88,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,X,,,,,,X,,,,,,100,6/10/2024,X,,,,,,X,,,,,,100,100
5,8,RIV,10,R,4,R,5,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q1,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,,X,,,,RS,75,88,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,X,,,,,,X,,,,,,100,88
6,8,RIV,10,R,5,R,6,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,1,,,100,50,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,x,,,,x,,,,25,X,,,,,X,,,,,100,63,FY22/Q4,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38,FY23/Q1,,x,,,,,,x,,,25,,X,,,,,X,,,,50,38,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,,x,,,,RS,75,4/2/2024,X,,,,,,,X,,,,RS,75,75,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,,X,,,,RS,X,,,,,,75,75
7,8,RIV,10,R,6,,7,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,x,,,,x,,,,25,X,,,,,X,,,,,100,63,FY22/Q4,,,x,,,,,x,,,0,,X,,,,,,X,,,25,13,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,x,,,,,x,,,,,100,,X,,,,CM,X,,,,,,75,88,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,,X,,,,RS,X,,,,,,75,75
8,8,RIV,10,,7,,8,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,x,,,,x,,,,25,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY22/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,,x,,,,RS,x,,,,,,75,4/2/2024,,X,,,,RS,X,,,,,,75,75,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,,X,,,,RS,X,,,,,,75,75
9,8,RIV,10,,8, ,9,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,1,,50,,1,,50,50,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY22/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,X,,,,,,X,,,,,,100,6/10/2024,X,,,,,,X,,,,,,100,100
10,8,RIV,10,,9,,10,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY22/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,x,,,,,x,,,,,100,X,,,,,,X,,,,,,100,100,10/5/2023,x,,,,,,x,,,,,,100,10/3/2023,X,,,,,,X,,,,,,100,100,1/10/2024,X,,,,,,X,,,,,,100,1/8/2024,X,,,,,,X,,,,,,100,100,4/3/2024,x,,,,,,x,,,,,,100,4/2/2024,X,,,,,,X,,,,,,100,100,6/19/2024,,X,,,,R,X,,,,,,75,6/10/2024,,X,,,,RS,X,,,,,,75,75
