ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,Date Inspected,Pass,Need 1,Need 2,LOS Score,Q2 Date Inspected,Pass,Need 1,Need 2,LOS Score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_start,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_q1,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_q2,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2022_q3,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2022_q4,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q1,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q2,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q3,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q4,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q1,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q2,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q3,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q4
1,4,ALA,13,,5,,6,NoCst-4,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,,1,,50,,,1,0,25,FY22/Q2,,1,,50,,,1,0,25,FY22/Q3,x,,,,,x,,,,,100,,,X,,,,,X,,,0,50,FY22/Q4,x,,,,,x,,,,,100,,,x,,,,,x,,,0,50,FY23/Q1,x,,,,,,x,,,,75,,X,,,,,X,,,,50,63,FY23/Q2,,,x,,,,,x,,,0,,,X,,,,,X,,,0,0,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88,FY23/Q4,,,x,,,x,,,,,50,,X,,,,,,X,,,25,38,10/12/2023,x,,,,,,x,,,,,,100,10/11/2023,X,,,,,,,,X,,,RS,50,75,1/8/2024,x,,,,,,,x,,,,RHS,75,1/9/2024,,X,,,,M,X,,,,,,75,75,4/15/2024,,,x,,,Median,,x,,,,RHS,25,4/16/2024,,,X,,,S,,,X,,,M,0,13,6/19/2024,,x,,,,RHS,x,,,,,,75,6/17/2024,X,,,,,,,,X,,,S,50,63
2,4,ALA,13,,6,,7,NoCst-4,5/5/2021,X,,,,5/5/2021,1,,,100,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,1,,,100,1,,,100,100,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,x,,,,,,x,,,,75,,,X,,,,,X,,,0,38,FY22/Q4,,x,,,,,x,,,,50,,,x,,,,,x,,,0,25,FY23/Q1,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88,FY23/Q2,,x,,,,,x,,,,50,,X,,,,,,X,,,25,38,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,10/12/2023,,,,x,,,,,,x,,,#DIV/0!,10/11/2023,,,,X,,,,,,X,,,#DIV/0!,#DIV/0!,1/8/2024,,,,x,,,,,,x,,,#DIV/0!,1/9/2024,,,,X,,,,,,X,,,#DIV/0!,#DIV/0!,4/15/2024,,,,x,,,,,,x,,,#DIV/0!,4/16/2024,,X,,,,M,X,,,,,,75,#DIV/0!,6/19/2024,,x,,,,Ramp,,x,,,,RHS,50,6/17/2024,X,,,,,,,,X,,,S,50,50
3,4,ALA,13,,7,,8,NoCst-4,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,1,,,100,,,1,0,50,FY22/Q1,,1,,50,,,1,0,25,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38,FY22/Q4,x,,,,,x,,,,,100,,,x,,,,,x,,,0,50,FY23/Q1,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88,FY23/Q2,,x,,,,x,,,,,75,,,X,,,,X,,,,25,50,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,X,,,,X,,,,25,#DIV/0!,10/12/2023,x,,,,,,,x,,,,RHS,75,10/11/2023,,,X,,,RS,,,X,,,RS,0,38,1/8/2024,,,,x,,,,,,x,,,#DIV/0!,1/9/2024,,X,,,,M,,X,,,,S,50,#DIV/0!,4/15/2024,,x,,,,RHS,,x,,,,RHS,50,4/16/2024,X,,,,,,,X,,,,M,75,63,6/19/2024,,,x,,,RHS Median,,,x,,,RHS,0,6/17/2024,,,X,,,M,,,X,,,S,0,0
4,4,ALA,13,,8,,9,NoCst-4,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,1,,,100,,,1,0,50,FY22/Q2,,,1,0,,,1,0,0,FY22/Q3,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38,FY22/Q4,x,,,,,x,,,,,100,,,x,,,,,x,,,0,50,FY23/Q1,,,x,,,x,,,,,50,X,,,,,X,,,,,100,75,FY23/Q2,,x,,,,x,,,,,75,,,X,,,,,X,,,0,38,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25,10/12/2023,,x,,,,RHS Median,x,,,,,,75,10/11/2023,,X,,,,RS,X,,,,,,75,75,1/8/2024,,x,,,,RHS,x,,,,,,75,1/9/2024,,,X,,,,X,,,,,,50,63,4/15/2024,x,,,,,,x,,,,,,100,4/16/2024,X,,,,,,X,,,,,,100,100,6/19/2024,,,x,,,RhS Median,,x,,,,RHS,25,6/17/2024,,,X,,,"S,M",,,X,,,S,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
5,4,ALA,24,R,2,R,3,NoCst-5,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,,,1,0,25,FY22/Q3,,x,,,,x,,,,,75,,,X,,X,,,X,,,0,38,FY22/Q4,x,,,,,,x,,,,75,x,,,,,,,x,,,50,63,FY23/Q1,x,,,,,,,x,,,50,,X,,,,,X,,,,50,50,FY23/Q2,,x,,,,,,x,,,25,,,X,,,,,X,,,0,13,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88,FY23/Q4,,x,,,,,x,,,,50,,X,,,,,,X,,,25,38,10/11/2023,,x,,,,RHS,,,x,,,RHS Median,25,10/11/2023,,X,,,,R,,,X,,,RS,25,25,1/8/2024,x,,,,,,,,x,,,RHS Median,50,1/9/2024,X,,,,,,X,,,,,,100,75,4/15/2024,,x,,,,RHS,,,x,,,RHS Median,25,4/15/2024,X,,,,,,,,X,,,"M,S,R",50,38,6/19/2024,,,x,,,RHS Median,,,x,,,RHS Median Ramp,0,6/17/2024,,,X,,X,S,,,X,,,R,0,0
6,4,ALA,24,R,3,R,4,NoCst-5,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,1,,,100,,,1,0,50,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,,x,,,,x,,,,,75,,X,,,,,,X,,,25,50,FY22/Q4,x,,,,,x,,,,,100,,x,,,,,x,,,,50,75,FY23/Q1,,x,,,x,x,,,,,75,,X,,,X,X,,,,,75,75,FY23/Q2,,x,,,,x,,,,,75,,X,,,,,X,,,,50,63,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88,FY23/Q4,x,,,,,x,,,,,100,,,X,,X,X,,,,,50,75,10/11/2023,,x,,,,Median,,x,,,,RHS,50,10/11/2023,,,X,,X,,X,,,,,,50,50,1/8/2024,,x,,,,Median,,,x,,,RHS Median,25,1/9/2024,,,X,,X,,,X,,,,M,25,25,4/15/2024,,,x,,,RHS Median,,,x,,,RHS Median,0,4/15/2024,,,X,,,M,,,X,,,"M,S,R",0,0,6/19/2024,,x,,,,RHS Median,,,x,,,RHS Median,25,6/17/2024,,,X,,,M,,,X,,,R,0,13
7,4,ALA,24,R,4,R,5,NoCst-5,5/5/2021,,X,,,5/5/2021,,1,,50,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,1,,,100,,,1,0,50,FY22/Q2,,1,,50,,,1,0,25,FY22/Q3,,x,,,,,,x,,,25,,X,,,,,X,,,,50,38,FY22/Q4,x,,,,,x,,,,,100,,x,,,,,x,,,,50,75,FY23/Q1,,,x,,,,,x,,,0,,,X,,,X,,,,,50,25,FY23/Q2,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,,x,,,,,,x,,,25,,X,,,,,,X,,,25,25,10/11/2023,x,,,,,,,x,,,,RHS,75,10/11/2023,,,X,,,M,X,,,,,,50,63,1/8/2024,x,,,,,,,,x,,,RHS Median,50,1/9/2024,,X,,,,M,,,X,,,M,25,38,4/15/2024,,,x,,,RHS Median,,,x,,,RHS Median Ramp,0,4/15/2024,,,X,,,M,,,X,,,M,0,0,6/19/2024,,,x,,,RHS Median,,x,,,,Median,25,6/17/2024,X,,,,,,,,X,,,M,50,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
8,4,ALA,80,,4,,5,NoCst-5,5/5/2021,,,X,,5/5/2021,,,1,0,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,,x,,,,75,,,X,,,,,X,,X,0,38,FY22/Q4,x,,,,,x,,,,,100,,x,,,,x,,,,,75,88,FY23/Q1,,x,,,,,,x,,,25,,,X,,,,X,,,,25,25,FY23/Q2,,,x,,,,,x,,,0,,X,,,,,,X,,,25,13,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,X,75,63,FY23/Q4,,x,,,,,x,,,,50,X,,,,,,,X,,,50,50,10/11/2023,,,x,,,RHS,,x,,,,RHS,25,10/11/2023,,X,,,,RS,,,X,,,"RS,M,R",25,25,1/8/2024,,,x,,,RHS,,,x,,,RHS,0,1/8/2024,,X,,,,S,,,X,,,"R,S",25,13,4/17/2024,,x,,,,RHS,,x,,,,RHS Ramp,50,4/15/2024,X,,,,,,,,X,,,"S,R",50,50,6/19/2024,,x,,,,RHS,,x,,,,Ramp,50,6/17/2024,,,X,,,S,,,X,,,R,0,25
