ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY21 Date Evaluated,Pass,Need 1,Need 2,LOS Score,Comments,April FY21 Date Evaluated,Pass,Need 1,Need 2,Score,Comments,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_start,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_q1,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,los_2022_q2,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2022_q3,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2022_q4,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q1,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q2,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q3,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,los_2023_q4,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q1,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q2,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q3,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,los_2024_q4
1,LA,10,InVal-5,,30,,31,,4/24/2021,1,,,100,,4/24/2021,1,,,100,,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75,FY22/Q4,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75,FY23/Q1,,,1,,,,,1,,,0,,X,,,,,X,,,,50,25,FY23/Q2,,,1,,,,1,,,,25,,X,,,,,X,,,,50,38,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,10/27/2023,1,,,,,R/S,,1,,,,R/S CM,75,10/25/2023,,X,,,,RS,,X,,,,RS,50,63,1/7/2024,1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,,X,,,,RS,75,75,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,,1,,,R/S,,1,,,,R/S,25,6/13/2024,,X,,,,RS,,X,,,,RS,50,38
2,LA,10,InVal-5,,31,,32,,4/24/2021,,1,,50,,4/24/2021,,1,,50,,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75,FY23/Q1,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38,FY23/Q2,1,,,,,,,1,,,50,X,,,,,,X,,,,75,63,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,"""",,1,,,,"""",,1,,,,""" CM",50,10/25/2023,,X,,,,RS,,X,,,,RS,50,50,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,,X,,,,RS,75,75,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,1,,,,R/S,,1,,,,R/S,50,6/13/2024,X,,,,,,,X,,,,RS,75,63
3,LA,10,InVal-5,,32,,33,,4/24/2021,1,,1,100,,4/24/2021,1,,1,100,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,1,,50,1,,,100,75,FY22/Q3,,X,,,,,X,,,,50,X,,,,,X,,,,,100,75,FY22/Q4,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q1,1,,,,,,,1,,,50,,X,,,,,X,,,,50,50,FY23/Q2,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88,FY23/Q4,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63,"""",1,,,,,"""",,1,,,,""" CM",75,10/25/2023,,X,,,,RS,,X,,,,RS,50,63,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,,X,,,,RS,75,75,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,1,,,,R/S,,,1,,,R/S,25,6/13/2024,X,,,,,,,X,,,,RS,75,50
4,LA,10,InVal-5,,33,,34,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q1,1,,,,,,,1,,,50,,X,,,,,X,,,,50,50,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,"""",1,,,,,"""",1,,,,,""" CM",100,10/25/2023,,X,,,,RS,,X,,,,RS,50,75,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,X,,,,,,100,88,4/15/2024,,1,,,,RS,,,1,,1,RS,25,4/11/2024,X,,,,,,,X,,,,RS,75,50,6/13/2024,,1,,,,R/S,,,1,,,R/S,25,6/13/2024,X,,,,,RS,X,,,,,,100,63
5,LA,10,InVal-5,,34,,35,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q1,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,1,,,,,,1,,,,75,X,,,,,,,X,,,50,63,"""",1,,,,,"""",1,,,,,""" CM",100,10/25/2023,,X,,,,RS,,X,,,,RS,50,75,"""",,1,,,,R/S,,1,,,,R/S,50,1/17/2024,,X,,,,RS,,X,,,,RS CM,50,50,4/15/2024,1,,,,,,,1,,,,RS,75,4/11/2024,X,,,,,,,X,,,,RS,75,75,6/13/2024,,1,,,,R/S,,,1,,,R/S,25,6/13/2024,,X,,,,RS,,X,,,,RS,50,38
6,LA,10,InVal-5,,35,,36,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q1,,1,,,,,,1,,,25,X,,,,,X,,,,,100,63,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75,FY23/Q4,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,"""",1,,,,,"""",,1,,,,""" CM",75,10/25/2023,X,,,,,,,X,,,,RS,75,75,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,,X,,,,RS,75,75,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,1,,,,R/S,,1,,,,R/S,50,6/13/2024,,X,,,,RS,,X,,,,RS,50,50
7,LA,10,InVal-5,,36,,37,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,,1,,,,,,1,,,25,,X,,,,,X,,,,50,38,FY23/Q1,,1,,,,,,1,,,25,X,,,,,X,,,,,100,63,FY23/Q2,,1,,,,,,1,,,25,,X,,,,,,X,,,25,25,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63,FY23/Q4,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,"""",1,,,,,"""",,1,,,,""" CM",75,10/25/2023,X,,,,,,,X,,,,RS,75,75,"""",,1,,,,R/S C-M,,1,,,,R/S,50,1/17/2024,,X,,,,RS CM,,X,,,,RS,50,50,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,,1,,,R/S,,,1,,,R/S,0,6/13/2024,,X,,,,RS,,X,,,,RS,50,25
8,LA,10,InVal-5,,37,,38,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,1,,,100,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,,,,1,,,,,1,,#DIV/0!,,X,,,,,X,,,,50,#DIV/0!,FY23/Q1,,,1,,,,1,,,,25,,X,,,,X,,,,,75,50,FY23/Q2,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100,FY23/Q4,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88,"""",,1,,,,R/S CM,,1,,,,R/S CM CM,50,10/25/2023,,X,,,,RS,,X,,,,RS,50,50,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,,X,,,,RS,75,75,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,1,,,,R/S,,1,,,,R/S,50,6/13/2024,,X,,,,RS,X,,,,,,75,63
9,LA,10,InVal-5,,38,,39,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88,FY22/Q4,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75,FY23/Q1,,,1,,,,,1,,,0,,X,,,,X,,,,,75,38,FY23/Q2,,1,,,,,1,,,,50,,X,,,,,X,,,,50,50,FY23/Q3,1,,,,,,,1,,,50,X,,,,,,X,,,,75,63,FY23/Q4,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88,"""",,1,,,,"""",,1,,,,""" CM",50,10/25/2023,,X,,,,RS,,X,,,,CM RS,50,50,"""",1,,,,,,,1,,,,R/S,75,1/17/2024,X,,,,,,X,,,,,,100,88,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,1,,,,R/S,,1,,,,R/S,50,6/13/2024,X,,,,,,,X,,,,CM,75,63
10,LA,10,InVal-5,,39,,40,,4/24/2021,,,1,0,,4/24/2021,,,1,0,,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,1,,50,,1,,50,50,FY22/Q3,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63,FY22/Q4,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63,FY23/Q1,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75,FY23/Q2,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75,FY23/Q3,,,1,,,,,1,,,0,X,,,,,,X,,,,75,38,FY23/Q4,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75,"""",,1,,,,"""",,1,,,,""" CM",50,10/25/2023,,X,,,,CM RS,,X,,,,CM RS,50,50,"""",,1,,,,R/S,,1,,,,R/S,50,1/17/2024,,X,,,,RS,,X,,,,RS,50,50,4/15/2024,1,,,,,,1,,,,,,100,4/11/2024,X,,,,,,X,,,,,,100,100,6/13/2024,,,1,,,"CENTER,R/S",1,,,,,,50,6/13/2024,X,,,,,,,X,,,,RS,75,63
