SegID,ORDER,DIST,CO,RTE,PREFIX,BEGPM,PREFIX.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
1.0,,1.0,LAK,53,,0.0,,1.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
2.0,,1.0,LAK,53,,1.0,,2.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
3.0,,1.0,LAK,53,,2.0,,3.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
4.0,,1.0,LAK,53,,3.0,,4.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
5.0,,1.0,LAK,53,,4.0,,5.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
6.0,,1.0,LAK,53,,5.0,,6.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
7.0,,1.0,LAK,53,,6.0,,7.0,1.0,,1.0,District 1 - Eureka Region,District 1 - Eureka Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
8.0,,1.0,HUM,101,,55.0,,56.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
9.0,,1.0,HUM,101,,56.0,,57.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
10.0,,1.0,HUM,101,,57.0,,58.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
11.0,,1.0,HUM,101,,58.0,,59.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
12.0,,1.0,HUM,101,,59.0,,60.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
13.0,,1.0,HUM,101,,60.0,,61.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
14.0,,1.0,HUM,101,,61.0,,62.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
15.0,,1.0,HUM,101,,62.0,,63.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
16.0,,1.0,HUM,101,,63.0,,64.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
17.0,,1.0,HUM,101,,64.0,,65.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
