ID,DIST,CO,RTE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
1.0,4.0,ALA,13.0,,5.0,,6.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
2.0,4.0,ALA,13.0,,6.0,,7.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
3.0,4.0,ALA,13.0,,7.0,,8.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
4.0,4.0,ALA,13.0,,8.0,,9.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
5.0,4.0,ALA,24.0,R,2.0,R,3.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
6.0,4.0,ALA,24.0,R,3.0,R,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
7.0,4.0,ALA,24.0,R,4.0,R,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
8.0,4.0,ALA,80.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,X,,,X,75.0,63.0
9.0,4.0,ALA,80.0,,5.0,,6.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
11.0,4.0,ALA,80.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
12.0,4.0,ALA,84.0,R,4.0,R,5.0,NoCst-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
13.0,4.0,ALA,84.0,R,5.0,R,6.0,NoCst-4,FY23/Q3,,,x,,x,,x,,,,25.0,,,x,,X,X,,,,,50.0,38.0
14.0,4.0,ALA,92.0,R,4.0,R,5.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,X,,,,75.0,63.0
15.0,4.0,ALA,92.0,R,5.0,R,6.0,NoCst-5,FY23/Q3,,x,,,,,,x,,x,25.0,X,,,,,,X,,,,75.0,50.0
16.0,4.0,ALA,185.0,,7.0,,8.0,NoCst-3,FY23/Q3,,,x,,x,,x,,,,25.0,X,,,,,,X,,,,75.0,50.0
17.0,4.0,ALA,185.0,,8.0,,9.0,NoCst-3,FY23/Q3,,x,,,,,,x,,x,25.0,X,,,,,X,,,,,100.0,63.0
19.0,4.0,ALA,238.0,,2.0,,3.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
20.0,4.0,ALA,238.0,,15.0,,16.0,NoCst-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
21.0,4.0,ALA,580.0,,11.0,,12.0,InVal-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
22.0,4.0,ALA,580.0,,12.0,,13.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
23.0,4.0,ALA,580.0,,13.0,,14.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
24.0,4.0,ALA,580.0,,14.0,,15.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
