ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
1.0,6.0,FRE,5.0,,0.0,,1.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
2.0,6.0,FRE,5.0,,1.0,,2.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
3.0,6.0,FRE,5.0,,2.0,,3.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
4.0,6.0,FRE,5.0,,3.0,,4.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
5.0,6.0,FRE,5.0,,4.0,,5.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
6.0,6.0,FRE,5.0,,5.0,,6.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
7.0,6.0,FRE,5.0,,6.0,,7.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
8.0,6.0,FRE,5.0,,7.0,,8.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
9.0,6.0,FRE,5.0,,8.0,,9.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
10.0,6.0,FRE,5.0,,9.0,,10.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,X,,,,,X,,,,,100.0
11.0,6.0,FRE,41.0,R,18.0,R,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
12.0,6.0,FRE,41.0,R,19.0,R,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
13.0,6.0,FRE,41.0,R,20.0,R,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
14.0,6.0,FRE,41.0,R,21.0,R,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,x,,,25.0
15.0,6.0,FRE,41.0,R,22.0,R,23.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,x,,,25.0
16.0,6.0,FRE,41.0,R,23.0,R,24.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
17.0,6.0,FRE,41.0,R,24.0,R,25.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
18.0,6.0,FRE,41.0,R,25.0,R,26.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
19.0,6.0,FRE,41.0,R,26.0,R,27.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0
22.0,6.0,FRE,41.0,R,29.0,R,30.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0
