permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,"clawiter rd Hayward, California",* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,SR-92,I-880,SR-238,I-580,hopyard rd,hopyard rd,I-580,I-680,I-80,SR-113,I-5,SR-113,east st,I-5,I-80,antelope rd,None,None,None,None,None,None,None,None
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,"sierra ave Fontana, California",* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,I-15,SR-60,vineyard ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,"industrial way Dixon, California",* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,SR-113,I-80,I-680,I-580,I-5,SR-152,SR-99,SR-180,north floyd ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,"grant line Elk Grove, California",* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,SR-99,SR-51,I-80,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,"air base pkwy Fairfield, California",* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,I-80,I-680,I-280,SR-17,scotts valley dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,"east st Woodland, California",* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,I-5,SR-20,SR-53,kugelman st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,"riego rd Pleasant Grove, California",* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,SR-99,I-5,I-80,watt ave,US-50,SR-99,cosumnes river blvd,I-5,fremont st,I-5,I-205,mountain house pkwy,None,None,None,None,None,None,None,None,None,None,None,None
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,"mission blvd Ontario, California",* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,SR-83,SR-60,I-15,I-10,rancho ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,"todd rd Santa Rosa, California",* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,US-101,west rd,SR-20,SR-29,hilderbrand rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,"richmond parkway Richmond, California",* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,I-80,cummings skyway,SR-4,I-680,US-101,bernal rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-046132,2023,06/04/2023,06/10/2023,CBI 6800CT GRINDER,California,Bakersfield,Edwards,"copus rd Bakersfield, California",* copus rd oc over rte 5 * from copus rd e/b on ramp - 99n to california ave w/b off ramp exit # 25 - from california ave w/b on ramp - 99s - 58e to edwards afb exit (rosamond blvd s/b off ramp exit #186) *,SR-99,california ave,SR-99,SR-58,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-029432,2023,04/15/2023,04/21/2023,UNLADEN 9 AXLE COMBINATION WITH JEEP DECKED ON 12'W DECK,California,Long Beach,Los Angeles,"paramount blvd Long Beach, California",* from paramount blvd n/b on ramp - 091w - 110n - 105w - to la cienega blvd exit (imperial hwy n/b off ramp exit number 2a) *,SR-91,SR-110,I-105,la cienega blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-058769,2023,07/12/2023,07/18/2023,"(2) OVERSIZE TRAILER PLATFORM, STKD",California,Az Line 40,"Long Beach, Ca","az line Az Line 40, California",* from az line 40 - 040w - 015s - 210w - 605s - 105w - 710s - 001n - to santa fe ave exit *,I-40,I-15,SR-210,I-605,I-105,I-710,SR-1,santa fe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
