permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,"clawiter rd Hayward, California",clawiter rd and SR-92,SR-92 and I-880,I-880 and SR-238,SR-238 and I-580,I-580 and hopyard rd  (dougherty rd n/b off ramp),hopyard rd  (dougherty rd n/b off ramp) and hopyard rd n/b on ramp,hopyard rd n/b on ramp and I-580,I-580 and I-680,I-680 and I-80,I-80 and SR-113,SR-113 and I-5,I-5 and SR-113,SR-113 and east st w/b on ramp,east st w/b on ramp and I-5,I-5 and I-80,I-80 and antelope rd  (antelope rd n/b off ramp),,,,,,,,,I-80 and antelope rd Antelope
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,"sierra ave Fontana, California",sierra ave and I-15,I-15 and SR-60,SR-60 and vineyard ave  (vineyard ave n/b off ramp),,,,,,,,,,,,,,,,,,,,,,SR-60 and vineyard ave Ontario
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,"industrial way Dixon, California",industrial way and SR-113,SR-113 and I-80,I-80 and I-680,I-680 and I-580,I-580 and I-5,I-5 and SR-152,SR-152 and SR-99,SR-99 and SR-180,SR-180 and north floyd ave  (north floyd ave),,,,,,,,,,,,,,,,SR-180 and north floyd ave Fresno
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,"grant line Elk Grove, California",grant line and SR-99,SR-99 and SR-51,SR-51 and I-80,I-80 and nv line 80,,,,,,,,,,,,,,,,,,,,,I-80 and nv line 80 CaNv Border
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,"air base pkwy Fairfield, California",air base pkwy and I-80,I-80 and I-680,I-680 and I-280,I-280 and SR-17,SR-17 and scotts valley dr/granite creek rd  (scotts valley dr w/b off ramp),,,,,,,,,,,,,,,,,,,,SR-17 and scotts valley drgranite creek rd Saratoga
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,"east st Woodland, California",east st and I-5,I-5 and SR-20,SR-20 and SR-53,SR-53 and kugelman st  (kugelman st/rd 141m),,,,,,,,,,,,,,,,,,,,,SR-53 and kugelman st Lower Lake
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,"riego rd Pleasant Grove, California",riego rd and SR-99,SR-99 and I-5,I-5 and I-80,I-80 and watt ave sb off ramp  94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp,watt ave sb off ramp  94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp and US-50,US-50 and SR-99,SR-99 and cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp,cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp and I-5,I-5 and fremont st off ramp  473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp,fremont st off ramp  473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp and I-5,I-5 and I-205,I-205 and mountain house pkwy/international pkwy s/b off ramp  2,,,,,,,,,,,,,I-205 and mountain house pkwyinternational pkwy sb
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,"mission blvd Ontario, California",mission blvd and SR-83,SR-83 and SR-60,SR-60 and I-15,I-15 and I-10,I-10 and rancho ave s/b off ramp,,,,,,,,,,,,,,,,,,,,I-10 and rancho ave sb
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,"todd rd Santa Rosa, California",todd rd and US-101,US-101 and west rd  (west rd e/b off ramp  number 557) ** from east rd s/b on ramp,west rd  (west rd e/b off ramp  number 557) ** from east rd s/b on ramp and SR-20,SR-20 and SR-29,SR-29 and hilderbrand rd  (hilderbrand rd/rd 125),,,,,,,,,,,,,,,,,,,,SR-29 and hilderbrand rd Middletown
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,"richmond parkway Richmond, California",richmond parkway and I-80,I-80 and cummings skyway  (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp,cummings skyway  (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp and SR-4,SR-4 and I-680,I-680 and US-101,US-101 and bernal rd  (bernal rd w/b off ramp  number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85,,,,,,,,,,,,,,,,,,,US-101 and bernal rd great oaks blvd
