permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords,route_intersection_19,route_intersection_19_x_coords,route_intersection_19_y_coords,route_intersection_20,route_intersection_20_x_coords,route_intersection_20_y_coords,route_intersection_21,route_intersection_21_x_coords,route_intersection_21_y_coords,route_intersection_22,route_intersection_22_x_coords,route_intersection_22_y_coords,route_intersection_23,route_intersection_23_x_coords,route_intersection_23_y_coords
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,"clawiter rd Hayward, California",clawiter rd and SR-92,-122.1209303,37.628221,SR-92 AND I-880,-122.093822,37.644770,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,I-580 AND HOPYARD RD  (DOUGHERTY RD N/B OFF RAMP),,,HOPYARD RD  (DOUGHERTY RD N/B OFF RAMP) AND HOPYARD RD N/B ON RAMP,,,HOPYARD RD N/B ON RAMP AND I-580,,,I-580 AND I-680,-121.922687,37.700955,I-80 AND I-680,-122.1379333,38.2163797,I-80 AND SR-113,-121.7702521,38.519704,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,SR-113 AND EAST ST W/B ON RAMP,,,EAST ST W/B ON RAMP AND I-5,,,I-5 AND I-80,-121.5171204,38.6248864,I-80 AND ANTELOPE RD  (ANTELOPE RD N/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,"sierra ave Fontana, California",sierra ave and I-15,-117.4368008,34.1816271,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND VINEYARD AVE  (VINEYARD AVE N/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,"industrial way Dixon, California",industrial way and SR-113,-121.8224247,38.4589893,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND I-680,-122.1379333,38.2163797,I-580 AND I-680,-121.922687,37.700955,I-5 AND I-580,-121.340756,37.596558,I-5 AND SR-152,-120.9698301,37.0566575,SR-99 AND SR-152,-120.209553,37.084135,SR-99 AND SR-180,-119.814729,36.740875,SR-180 AND NORTH FLOYD AVE  (NORTH FLOYD AVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,"grant line Elk Grove, California",grant line and SR-99,-121.3620431,38.376388,SR-51 AND SR-99,-121.473416,38.559038,SR-51 AND I-80,-121.375460,38.647059,I-80 AND NV LINE 80,-120.0029996,39.4680353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,"air base pkwy Fairfield, California",air base pkwy and I-80,-122.0497322,38.2733662,I-80 AND I-680,-122.1379333,38.2163797,I-280 AND I-680,-121.851986,37.339644,SR-17 AND I-280,-121.940329,37.316402,SR-17 AND SCOTTS VALLEY DR/GRANITE CREEK RD  (SCOTTS VALLEY DR W/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,"east st Woodland, California",east st and I-5,-121.7651982,38.6965145,I-5 AND SR-20,-122.1498933,39.1665678,SR-20 AND SR-53,-122.614254,39.008536,SR-53 AND KUGELMAN ST  (KUGELMAN ST/RD 141M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,"riego rd Pleasant Grove, California",riego rd and SR-99,-121.540639,38.750397,I-5 AND SR-99,-121.540221,38.669260,I-5 AND I-80,-121.5171204,38.6248864,I-80 AND WATT AVE SB OFF RAMP  94A * WATT AVE OC OVER 51(BUS 80/CAP CITY FRWY) * FROM WATT AVE SB ON RAMP,,,WATT AVE SB OFF RAMP  94A * WATT AVE OC OVER 51(BUS 80/CAP CITY FRWY) * FROM WATT AVE SB ON RAMP AND US-50,,,US-50 AND SR-99,-121.473449,38.558891,SR-99 AND COSUMNES RIVER BLVD WB OFF RAMP * FROM COSUMNES RIVER BLVD WB ON RAMP,,,COSUMNES RIVER BLVD WB OFF RAMP * FROM COSUMNES RIVER BLVD WB ON RAMP AND I-5,,,I-5 AND FREMONT ST OFF RAMP  473 * FREMONT ST UC UNDER 5 * CETNER ST UC UNDER 4 * FROM SOUTH EL DORADO ST W/B ON RAMP,,,FREMONT ST OFF RAMP  473 * FREMONT ST UC UNDER 5 * CETNER ST UC UNDER 4 * FROM SOUTH EL DORADO ST W/B ON RAMP AND I-5,,,I-5 AND I-205,-121.3212098,37.7747996,I-205 AND MOUNTAIN HOUSE PKWY/INTERNATIONAL PKWY S/B OFF RAMP  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,"mission blvd Ontario, California",mission blvd and SR-83,-117.6509576,34.0549537,SR-60 AND SR-83,-117.650855,34.030425,I-15 AND SR-60,-117.550268,34.021768,I-10 AND I-15,-117.544920,34.067352,I-10 AND RANCHO AVE S/B OFF RAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,"todd rd Santa Rosa, California",todd rd and US-101,-122.7161848,38.3870017,US-101 AND WEST RD  (WEST RD E/B OFF RAMP  NUMBER 557) ** FROM EAST RD S/B ON RAMP,,,WEST RD  (WEST RD E/B OFF RAMP  NUMBER 557) ** FROM EAST RD S/B ON RAMP AND SR-20,,,SR-20 AND SR-29,-122.9213631,39.1634382,SR-29 AND HILDERBRAND RD  (HILDERBRAND RD/RD 125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,"richmond parkway Richmond, California",richmond parkway and I-80,-122.3146394,37.9867923,I-80 AND CUMMINGS SKYWAY  (CUMMINGS SKYWAY S/B OFF RAMP) ** FROM CUMMINGS SKYWAY S/B ON RAMP,,,CUMMINGS SKYWAY  (CUMMINGS SKYWAY S/B OFF RAMP) ** FROM CUMMINGS SKYWAY S/B ON RAMP AND SR-4,,,SR-4 AND I-680,-122.069861,37.994566,US-101 AND I-680,-121.851952,37.339616,US-101 AND BERNAL RD  (BERNAL RD W/B OFF RAMP  NUMBER 377A) * BERNAL RD UC UNDER 85 * GREAT OAKS BLVD UC UNDER HWY 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
