OBJECTID *,DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION_DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,Shape *
1,2,36,,LAS,,46.481,X,"JOHNSTONVILLE, JCT. RTE. 395",1050,9400,8300,,,,Point
2,2,36,,LAS,,46.481,X,"JOHNSTONVILLE, JCT. RTE. 395",1050,9400,8300,,,,Point
3,4,37,,MRN,,0,X,"JCT RTE 251,BEGIN RTE",,,,4700,56000,47000,Point
4,4,37,,MRN,,0,X,"JCT RTE 251,BEGIN RTE",,,,4700,56000,47000,Point
5,4,37,,MRN,R,11.2,X,"NOVATO, JCT. RTE. 101",4700,56000,47000,,,,Point
6,4,37,,MRN,R,11.2,X,"NOVATO, JCT. RTE. 101",4700,56000,47000,,,,Point
7,11,54,,SD,T,10.993,X,JCT. RTE. 94,9300,116000,113000,3650,42500,42000,Point
8,11,54,,SD,T,10.993,X,JCT. RTE. 94,9300,116000,113000,3650,42500,42000,Point
9,12,1,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",,,,4250,42000,38250,Point
10,12,1,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",,,,4250,42000,38250,Point
11,12,1,,ORA,R,0.78,,"DANA POINT, DOHENY PARK ROAD",4250,42000,38900,4350,43500,38900,Point
12,12,1,,ORA,R,0.78,,"DANA POINT, DOHENY PARK ROAD",4250,42000,38900,4350,43500,38900,Point
13,12,1,,ORA,R,1.077,,BREAK IN RTE,,,,,,,Point
14,12,1,,ORA,R,1.077,,BREAK IN RTE,,,,,,,Point
15,12,1,,ORA,,8.43,,"LAGUNA BEACH, MOUNTAIN ROAD",3200,40500,37900,3200,40500,37900,Point
16,12,1,,ORA,,8.43,,"LAGUNA BEACH, MOUNTAIN ROAD",3200,40500,37900,3200,40500,37900,Point
17,12,1,,ORA,,9.418,,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400,43000,38800,3850,43000,38800,Point
18,12,1,,ORA,,9.418,,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400,43000,38800,3850,43000,38800,Point
19,12,1,,ORA,,9.6,,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750,41000,38500,3750,41000,38500,Point
20,12,1,,ORA,,9.6,,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750,41000,38500,3750,41000,38500,Point
21,12,1,,ORA,,11.5,,"LAGUNA BEACH, NORTH CITY LIMITS",3550,39500,36800,3600,40500,36800,Point
22,12,1,,ORA,,11.5,,"LAGUNA BEACH, NORTH CITY LIMITS",3550,39500,36800,3600,40500,36800,Point
23,12,1,,ORA,,14.057,,BREAK IN RTE,,,,,,,Point
24,12,1,,ORA,,14.057,,BREAK IN RTE,,,,,,,Point
25,12,1,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE DRIVE",4550,52000,47200,5500,62000,56500,Point
26,12,1,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE DRIVE",4550,52000,47200,5500,62000,56500,Point
27,12,1,,ORA,R,18.446,,"NEWPORT BEACH, DOVER DRIVE",4850,55000,50200,4850,55000,50200,Point
28,12,1,,ORA,R,18.446,,"NEWPORT BEACH, DOVER DRIVE",4850,55000,50200,4850,55000,50200,Point
29,12,1,,ORA,,19.797,,"NEWPORT BEACH, JCT. RTE. 55",4950,56000,49600,5900,54000,49600,Point
30,12,1,,ORA,,19.797,,"NEWPORT BEACH, JCT. RTE. 55",4950,56000,49600,5900,54000,49600,Point
31,12,1,,ORA,,20.37,,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",6000,54000,50600,6000,54000,50600,Point
32,12,1,,ORA,,20.37,,"NEWPORT BEACH, BALBOA BOULEVARD/SUPERIOR AVENUE",6000,54000,50600,6000,54000,50600,Point
33,12,1,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,4650,42500,38800,4650,42500,39800,Point
34,12,1,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,4650,42500,38800,4650,42500,39800,Point
35,12,1,,ORA,,22.09,,"HUNTINGTON BEACH, BROOKHURST STREET",4750,43000,40300,4800,43000,40300,Point
36,12,1,,ORA,,22.09,,"HUNTINGTON BEACH, BROOKHURST STREET",4750,43000,40300,4800,43000,40300,Point
37,12,1,,ORA,,23.739,,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400,40000,38300,4400,40000,37200,Point
38,12,1,,ORA,,23.739,,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400,40000,38300,4400,40000,37200,Point
39,12,1,,ORA,,25.89,,"HUNTINGTON BEACH, GOLDENWEST STREET",4500,41000,38200,4500,41000,38200,Point
40,12,1,,ORA,,25.89,,"HUNTINGTON BEACH, GOLDENWEST STREET",4500,41000,38200,4500,41000,38200,Point
41,12,1,,ORA,,29.89,,"SUNSET BEACH, WARNER AVENUE",5500,49000,45700,4850,44000,41200,Point
42,12,1,,ORA,,29.89,,"SUNSET BEACH, WARNER AVENUE",5500,49000,45700,4850,44000,41200,Point
43,12,1,,ORA,,32.714,,SEAL BEACH BOULEVARD,4600,41500,39200,4850,44000,41200,Point
44,12,1,,ORA,,32.714,,SEAL BEACH BOULEVARD,4600,41500,39200,4850,44000,41200,Point
45,12,1,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH BOULVARD",4850,50000,47300,4900,51000,47300,Point
46,12,1,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH BOULVARD",4850,50000,47300,4900,51000,47300,Point
47,12,1,,ORA,,33.719,,LOS ANGELES/ORANGE COUNTY LINE,4550,47500,43800,,,,Point
48,12,1,,ORA,,33.719,,LOS ANGELES/ORANGE COUNTY LINE,4550,47500,43800,,,,Point
49,7,1,,LA,,0,,LOS ANGELES/ORANGE COUNTY LINE,,,,2650,44000,40500,Point
50,7,1,,LA,,0,,LOS ANGELES/ORANGE COUNTY LINE,,,,2650,44000,40500,Point
51,7,1,,LA,,1.86,,"LONG BEACH, BELLFLOWER BOULEVARD",2100,34500,32000,1550,26000,24200,Point
52,7,1,,LA,,1.86,,"LONG BEACH, BELLFLOWER BOULEVARD",2100,34500,32000,1550,26000,24200,Point
53,7,1,,LA,,1.973,,"LONG BEACH, JCT. RTE. 22",1550,26000,24200,2050,34000,31500,Point
54,7,1,,LA,,1.973,,"LONG BEACH, JCT. RTE. 22",1550,26000,24200,2050,34000,31500,Point
55,7,1,,LA,,2.751,,"LONG BEACH, ANAHEIM STREET",2050,34000,31500,1700,28500,26500,Point
56,7,1,,LA,,2.751,,"LONG BEACH, ANAHEIM STREET",2050,34000,31500,1700,28500,26500,Point
57,7,1,,LA,,5.011,,"LONG BEACH, CHERRY AVENUE",2200,36500,34000,2250,37000,34500,Point
58,7,1,,LA,,5.011,,"LONG BEACH, CHERRY AVENUE",2200,36500,34000,2250,37000,34500,Point
59,7,1,,LA,,6.26,,"LONG BEACH, LONG BEACH BOULEVARD",2000,32500,30500,2100,34500,32000,Point
60,7,1,,LA,,6.26,,"LONG BEACH, LONG BEACH BOULEVARD",2000,32500,30500,2100,34500,32000,Point
61,7,1,,LA,,7.288,,"LONG BEACH, JCT. RTE. 710",2450,40500,37500,2350,39000,36000,Point
62,7,1,,LA,,7.288,,"LONG BEACH, JCT. RTE. 710",2450,40500,37500,2350,39000,36000,Point
63,7,1,,LA,,8.266,,"LONG BEACH, JCT. RTE. 103",2050,34000,31500,1950,32000,30000,Point
64,7,1,,LA,,8.266,,"LONG BEACH, JCT. RTE. 103",2050,34000,31500,1950,32000,30000,Point
65,7,1,,LA,,9.253,,"LOS ANGELES, ALAMEDA STREET",1950,32000,30000,2000,32500,30500,Point
66,7,1,,LA,,9.253,,"LOS ANGELES, ALAMEDA STREET",1950,32000,30000,2000,32500,30500,Point
67,7,1,,LA,,10.532,,"LOS ANGELES, AVALON BOULEVARD",2000,33500,31000,2500,41000,38000,Point
68,7,1,,LA,,10.532,,"LOS ANGELES, AVALON BOULEVARD",2000,33500,31000,2500,41000,38000,Point
69,7,1,,LA,,11.61,,"LOS ANGELES, JCT. RTE. 110",2500,41500,38500,3400,57000,53000,Point
70,7,1,,LA,,11.61,,"LOS ANGELES, JCT. RTE. 110",2500,41500,38500,3400,57000,53000,Point
71,7,1,,LA,,12.171,,"LOS ANGELES, VERMONT AVENUE",3400,57000,53000,3200,53000,49500,Point
72,7,1,,LA,,12.171,,"LOS ANGELES, VERMONT AVENUE",3400,57000,53000,3200,53000,49500,Point
73,7,1,,LA,,12.523,,"LOS ANGELES, NORMANDIE AVENUE",3200,53000,49500,2950,49000,45500,Point
74,7,1,,LA,,12.523,,"LOS ANGELES, NORMANDIE AVENUE",3200,53000,49500,2950,49000,45500,Point
75,7,1,,LA,,13.1,,"LOS ANGELES, JCT. RTE. 213",3000,49500,46000,3700,61000,57000,Point
76,7,1,,LA,,13.1,,"LOS ANGELES, JCT. RTE. 213",3000,49500,46000,3700,61000,57000,Point
77,7,1,,LA,,14.634,,"TORRANCE, CRENSHAW BOULEVARD",3500,58000,54000,2650,44000,40500,Point
78,7,1,,LA,,14.634,,"TORRANCE, CRENSHAW BOULEVARD",3500,58000,54000,2650,44000,40500,Point
