dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 1297878,0.14,yes,32,no,0: All Days (M-Su),0: All Day (12am-12am),7722,50,10,58.191,0.865,1083.18,2.91,31,40,43,45,47,48,49,50,51,52,53,54,54,55,57,58,59,61,64
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 1297878,0.14,yes,32,no,1: Weekday (M-Th),0: All Day (12am-12am),8373,50,10,58.191,0.864,1174.51,3.19,32,40,43,45,47,48,49,50,51,52,53,53,54,55,56,58,59,61,63
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 1297878,0.14,yes,32,no,2: Weekend (Sa-Su),0: All Day (12am-12am),5544,51,10,58.191,0.879,777.71,1.84,32,40,43,46,47,48,50,51,52,53,53,54,55,56,57,59,60,62,65
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 60655,0.176,yes,16,no,0: All Days (M-Su),0: All Day (12am-12am),10319,47,14,54.664,0.857,1818.49,5.56,28,35,38,40,42,44,45,46,47,48,49,50,51,53,54,55,57,59,61
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 60655,0.176,yes,16,no,1: Weekday (M-Th),0: All Day (12am-12am),11061,47,14,54.664,0.858,1949.29,5.89,28,35,38,40,42,44,45,46,47,48,49,50,52,53,54,55,57,59,61
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 60655,0.176,yes,16,no,2: Weekend (Sa-Su),0: All Day (12am-12am),7756,47,14,54.664,0.858,1366.81,4.13,28,35,38,40,42,43,45,46,47,48,49,50,52,53,54,55,57,59,62
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 63015,0.279,yes,207,no,0: All Days (M-Su),0: All Day (12am-12am),5964,51,20,55.883,0.914,1663.82,2.79,39,42,44,46,47,48,49,50,51,51,52,53,54,55,56,57,58,60,63
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 63015,0.279,yes,207,no,1: Weekday (M-Th),0: All Day (12am-12am),6403,51,20,55.883,0.913,1786.25,3.04,38,42,44,46,47,48,49,50,51,51,52,53,54,55,56,57,58,60,63
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 63015,0.279,yes,207,no,2: Weekend (Sa-Su),0: All Day (12am-12am),4579,51,20,55.883,0.919,1277.33,2.02,39,43,45,46,47,48,49,50,51,52,52,53,54,55,56,57,58,60,63
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 712087,0.24,yes,13,no,0: All Days (M-Su),0: All Day (12am-12am),12790,35,25,42.994,0.814,3064.35,16.34,4,7,12,17,23,28,31,34,36,39,41,43,45,46,48,50,52,54,57
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 712087,0.24,yes,13,no,1: Weekday (M-Th),0: All Day (12am-12am),13715,35,25,42.994,0.803,3285.96,18.73,4,7,12,16,22,27,31,34,36,38,40,42,44,46,48,49,51,54,57
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,I 605 / 712087,0.24,yes,13,no,2: Weekend (Sa-Su),0: All Day (12am-12am),9776,36,24,42.994,0.848,2342.35,9.73,4,9,15,20,27,31,34,36,38,40,42,44,46,47,49,50,52,55,58
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283676,0.641,yes,203,no,0: All Days (M-Su),0: All Day (12am-12am),123025,57,40,73.861,0.772,78918.7,314.9,22,28,34,40,46,50,54,57,60,62,64,66,67,69,71,73,74,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283676,0.641,yes,203,no,1: Weekday (M-Th),0: All Day (12am-12am),121720,54,43,73.861,0.726,78081.6,398.27,20,25,30,35,40,45,49,52,55,58,60,62,64,66,68,70,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283676,0.641,yes,203,no,2: Weekend (Sa-Su),0: All Day (12am-12am),119111,65,36,73.861,0.876,76407.9,146.63,34,45,53,57,60,62,63,65,66,68,69,70,71,73,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283829,0.329,yes,180,no,0: All Days (M-Su),0: All Day (12am-12am),78859,71,17,75.268,0.937,25907.5,23.11,57,60,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,80,82
