location,daytype_expected,daytype_used,daypart_used,modeoftravel_used,ahead_zones,behind_zones,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,missing_ahead_zones,missing_behind_zones
BROYLES ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 185206,CA 99 / 185165,10800.0,12501.0,11650.5,1,1,,
KEEFER ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 185159,CA 99 / 185106,13051.0,13616.0,13333.5,1,1,,
EATON AVENUE,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185116,CA 99 / 185119","CA 99 / 185087,CA 99 / 185088",9329.0,13298.0,11313.5,2,2,,
EAST AVENUE,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185087,CA 99 / 185088","CA 99 / 185045,CA 99 / 185041",13298.0,17457.0,15377.5,2,2,,
"CHICO, COHASSET HIGHWAY",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185045,CA 99 / 185041","CA 99 / 185287,CA 99 / 185012",17457.0,23229.0,20343.0,2,2,,
"CHICO, EAST FIRST AVENUE",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185287,CA 99 / 185012","CA 99 / 3236621,CA 99 / 5232036",23229.0,,23229.0,2,0,,"CA 99 / 3236621,CA 99 / 5232036"
"CHICO, JCT. RTE. 32 EAST",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 3236622,CA 99 / 185312","CA 99 / 22607112,CA 99 / 185347",,26980.0,26980.0,0,2,"CA 99 / 3236622,CA 99 / 185312",
EAST 20TH STREET,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 22607112,CA 99 / 185347","CA 99 / 185451,CA 99 / 22981402",26980.0,19836.5,23408.25,2,2,,
"CHICO, SKYWAY OVERCROSSING",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 9432481,CA 99 / 22093967","CA 99 / 11495974,CA 99 / 16551419",14220.5,14331.0,14275.75,2,2,,
NEAL HIGHWAY,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185596,CA 99 / 185597","CA 99 / 185590,CA 99 / 185591",15728.5,16059.5,15894.0,2,2,,
PENTZ ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 185590,CA 99 / 185591","CA 99 / 70538,CA 99 / 185577",16059.5,14250.0,15154.75,2,2,,
JCT. RTE 149,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 70538,CA 99 / 185577","CA 99 / 17021934,CA 99 / 16363414",14250.0,6430.0,10340.0,2,2,,
NELSON SHIPPEE ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 712588,CA 99 / 1302938,12613.0,12367.0,12490.0,1,1,,
JCT. RTE. 162 EAST,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 1302938,CA 99 / 22187531,12367.0,,12367.0,1,0,,CA 99 / 22187531
JCT. RTE. 162 WEST,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 22187531,CA 99 / 70189,,13778.0,13778.0,0,1,CA 99 / 22187531,
BIGGS HIGHWAY,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 70189,CA 99 / 720583,13778.0,15217.0,14497.5,1,1,,
"GRIDLEY, SPRUCE STREET",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 720583,CA 99 / 713069,15217.0,18515.0,16866.0,1,1,,
"GRIDLEY, WILSON STREET",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 16880739,CA 99 / 693872,19124.0,16306.0,17715.0,1,1,,
"LIVE OAK, PENNINGTON ROAD",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"Live Oak Boulevard / 185052,Live Oak Boulevard / 185055","Live Oak Boulevard / 4270255,Live Oak Boulevard / 185044",7706.0,9474.0,8590.0,2,2,,
ENCINAL ROAD/LIVE OAK BOULEVARD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,Live Oak Boulevard / 69780,CA 99 / 690970,20874.0,18867.0,19870.5,1,1,,
EAGER ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 694159,CA 99 / 711538","CA 99 / 19182490,CA 99 / 19885831",10437.0,9529.0,9983.0,2,2,,
"YUBA CITY, QUEENS AVENUE",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 19182490,CA 99 / 19885831","CA 99 / 694163,CA 99 / 185054",9529.0,12127.5,10828.25,2,2,,
"YUBA CITY, JCT. RTE. 20",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 694163,CA 99 / 185054","CA 99 / 71210,CA 99 / 70537",12127.5,15571.0,13849.25,2,2,,
"YUBA CITY, BRIDGE STREET",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 683549,CA 99 / 1303764,32031.0,34314.0,33172.5,1,1,,
FRANKLIN ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 1303764,CA 99 / 1302697,34314.0,33729.0,34021.5,1,1,,
"YUBA CITY, LINCOLN ROAD",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 693786,CA 99 / 69539,31175.0,28597.0,29886.0,1,1,,
BOGUE ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 69539,CA 99 / 683020,28597.0,26227.0,27412.0,1,1,,
BARRY ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,CA 99 / 683020,CA 99 / 713219,26227.0,25262.0,25744.5,1,1,,
JCT. RTE. 113,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 19988633,CA 99 / 70681","CA 99 / 1305890,CA 99 / 20383725",11735.0,9353.5,10544.25,2,2,,
FEATHER RIVER BRIDGE,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 62242,CA 99 / 72259","CA 99 / 15956877,CA 99 / 23862508",10707.0,10347.0,10527.0,2,2,,
JCT. RTE. 70 NORTH,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"CA 99 / 10474764,CA 99 / 15283380","CA 99 / 190748,CA 99 / 190751",10512.5,,10512.5,2,0,,"CA 99 / 190748,CA 99 / 190751"
RIEGO ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"Golden State Highway / 14677099,CA 99 / 15435840","Golden State Highway / 17457767,CA 99 / 10478428",22610.0,25967.0,24288.5,1,1,CA 99 / 15435840,CA 99 / 10478428
ELVERTA ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"Golden State Highway / 62778,CA 99 / 10478428","Golden State Highway / 190363,CA 99 / 190364",26968.0,25489.0,26228.5,1,1,CA 99 / 10478428,CA 99 / 190364
ELKHORN BOULEVARD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"Golden State Highway / 190363,CA 99 / 190364","Golden State Highway / 1700995,CA 99 / 190201",25489.0,34148.0,29818.5,1,1,CA 99 / 190364,CA 99 / 190201
"SACRAMENTO, 12TH AVENUE",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 193828,South Sacramento Freeway / 193825","South Sacramento Freeway / 192822,South Sacramento Freeway / 192818",101936.5,93466.0,97701.25,2,2,,
"SACRAMENTO, FRUITRIDGE ROAD",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 192822,South Sacramento Freeway / 192818","South Sacramento Freeway / 20029922,South Sacramento Freeway / 5306321",93466.0,90974.0,92220.0,2,2,,
47TH AVENUE,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 193001,South Sacramento Freeway / 6282898","South Sacramento Freeway / 193022,South Sacramento Freeway / 73027",92715.0,87765.5,90240.25,2,2,,
FLORIN ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 193022,South Sacramento Freeway / 73027","South Sacramento Freeway / 189279,South Sacramento Freeway / 189284",87765.5,79913.5,83839.5,2,2,,
"SACRAMENTO, MACK ROAD",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 189279,South Sacramento Freeway / 189284","South Sacramento Freeway / 11496158,South Sacramento Freeway / 5251250",79913.5,68354.5,74134.0,2,2,,
DULUTH AVENUE,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 189277,South Sacramento Freeway / 189275","South Sacramento Freeway / 189188,South Sacramento Freeway / 189132",74380.5,66192.0,70286.25,2,2,,
SHELDON ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 189188,South Sacramento Freeway / 188302","South Sacramento Freeway / 189132,South Sacramento Freeway / 188301",64089.5,66311.5,65200.5,2,2,,
LAGUNA BOULEVARD/ BOND ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 188302,South Sacramento Freeway / 188301","South Sacramento Freeway / 1302576,South Sacramento Freeway / 188510",64209.0,55132.0,59670.5,2,2,,
ELK GROVE BOULEVARD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 1302576,South Sacramento Freeway / 188510","South Sacramento Freeway / 188084,South Sacramento Freeway / 1305508",55132.0,37475.5,46303.75,2,2,,
GRANT LINE ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 188084,South Sacramento Freeway / 1305508","South Sacramento Freeway / 22309324,South Sacramento Freeway / 188730",37475.5,39748.5,38612.0,2,2,,
DILLARD ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 188721,South Sacramento Freeway / 188730","South Sacramento Freeway / 188716,South Sacramento Freeway / 70493",38821.0,41052.5,39936.75,2,2,,
ARNO ROAD,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 9947986,South Sacramento Freeway / 70493",South Sacramento Freeway / 10980779,40556.0,41520.0,41038.0,2,1,,
JCT. RTE. 104 EAST,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 9947988,South Sacramento Freeway / 10980777","South Sacramento Freeway / 9947991,South Sacramento Freeway / 10980774",39872.5,38872.0,39372.25,2,2,,
WALNUT STREET CONNECTION,0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,"South Sacramento Freeway / 9947991,South Sacramento Freeway / 10980774","South Sacramento Freeway / 9947994,South Sacramento Freeway / 22215110",38872.0,38838.5,38855.25,2,2,,
