name,daytype,objectids,ahead_zones,behind_zones
BROYLES ROAD,0: All Days (M-Su),['7879'],['CA 99 / 185206'],['CA 99 / 185165']
KEEFER ROAD,0: All Days (M-Su),['7877'],['CA 99 / 185159'],['CA 99 / 185106']
EATON AVENUE,0: All Days (M-Su),"['7874', '7873']","['CA 99 / 185116', 'CA 99 / 185119']","['CA 99 / 185087', 'CA 99 / 185088']"
EAST AVENUE,0: All Days (M-Su),"['7872', '7871']","['CA 99 / 185087', 'CA 99 / 185088']","['CA 99 / 185045', 'CA 99 / 185041']"
"CHICO, COHASSET HIGHWAY",0: All Days (M-Su),"['7870', '7869']","['CA 99 / 185045', 'CA 99 / 185041']","['CA 99 / 185287', 'CA 99 / 185012']"
"CHICO, EAST FIRST AVENUE",0: All Days (M-Su),"['7868', '7867']","['CA 99 / 185287', 'CA 99 / 185012']","['CA 99 / 3236621', 'CA 99 / 5232036']"
"CHICO, JCT. RTE. 32 EAST",0: All Days (M-Su),"['7866', '7865']","['CA 99 / 3236622', 'CA 99 / 185312']","['CA 99 / 22607112', 'CA 99 / 185347']"
EAST 20TH STREET,0: All Days (M-Su),"['7864', '7863']","['CA 99 / 22607112', 'CA 99 / 185347']","['CA 99 / 185451', 'CA 99 / 22981402']"
"CHICO, SKYWAY OVERCROSSING",0: All Days (M-Su),"['7862', '7861']","['CA 99 / 9432481', 'CA 99 / 22093967']","['CA 99 / 11495974', 'CA 99 / 16551419']"
NEAL HIGHWAY,0: All Days (M-Su),"['7860', '7859']","['CA 99 / 185596', 'CA 99 / 185597']","['CA 99 / 185590', 'CA 99 / 185591']"
PENTZ ROAD,0: All Days (M-Su),"['7858', '7857']","['CA 99 / 185590', 'CA 99 / 185591']","['CA 99 / 70538', 'CA 99 / 185577']"
JCT. RTE 149,0: All Days (M-Su),"['7856', '7855']","['CA 99 / 70538', 'CA 99 / 185577']","['CA 99 / 17021934', 'CA 99 / 16363414']"
NELSON SHIPPEE ROAD,0: All Days (M-Su),['7853'],['CA 99 / 712588'],['CA 99 / 1302938']
JCT. RTE. 162 EAST,0: All Days (M-Su),['7851'],['CA 99 / 1302938'],['CA 99 / 22187531']
JCT. RTE. 162 WEST,0: All Days (M-Su),['7849'],['CA 99 / 22187531'],['CA 99 / 70189']
BIGGS HIGHWAY,0: All Days (M-Su),['7847'],['CA 99 / 70189'],['CA 99 / 720583']
