location,daytype,objectids,n_objectids,n_found_in_tc,missing_objectids,traditional_ahead_mean,traditional_behind_mean,traditional_aadt
BROYLES ROAD [7879],0: All Days (M-Su),7879,1,1,,14700.0,12900.0,13800.0
KEEFER ROAD [7877],0: All Days (M-Su),7877,1,1,,15700.0,15300.0,15500.0
EATON AVENUE [7873],0: All Days (M-Su),7873,1,1,,21500.0,31500.0,26500.0
EAST AVENUE [7871],0: All Days (M-Su),7871,1,1,,64000.0,39000.0,51500.0
"CHICO, COHASSET HIGHWAY [7869]",0: All Days (M-Su),7869,1,1,,63000.0,64000.0,63500.0
"CHICO, EAST FIRST AVENUE [7867]",0: All Days (M-Su),7867,1,1,,64000.0,82000.0,73000.0
"CHICO, JCT. RTE. 32 EAST [7865]",0: All Days (M-Su),7865,1,1,,82000.0,55000.0,68500.0
EAST 20TH STREET [7863],0: All Days (M-Su),7863,1,1,,55000.0,43000.0,49000.0
"CHICO, SKYWAY OVERCROSSING [7862]",0: All Days (M-Su),7862,1,1,,28000.0,28000.0,28000.0
NEAL HIGHWAY [7859],0: All Days (M-Su),7859,1,1,,24000.0,24000.0,24000.0
PENTZ ROAD [7857],0: All Days (M-Su),7857,1,1,,21100.0,19400.0,20250.0
JCT. RTE 149 [7855],0: All Days (M-Su),7855,1,1,,25500.0,11100.0,18300.0
NELSON SHIPPEE ROAD [7853],0: All Days (M-Su),7853,1,1,,11100.0,13400.0,12250.0
JCT. RTE. 162 EAST [7851],0: All Days (M-Su),7851,1,1,,12300.0,12100.0,12200.0
JCT. RTE. 162 WEST [7849],0: All Days (M-Su),7849,1,1,,12100.0,11800.0,11950.0
BIGGS HIGHWAY [7847],0: All Days (M-Su),7847,1,1,,11200.0,14300.0,12750.0
"GRIDLEY, SPRUCE STREET [7845]",0: All Days (M-Su),7845,1,1,,21100.0,22300.0,21700.0
"GRIDLEY, WILSON STREET [7843]",0: All Days (M-Su),7843,1,1,,19900.0,19600.0,19750.0
"LIVE OAK, PENNINGTON ROAD [7833]",0: All Days (M-Su),7833,1,1,,19700.0,17300.0,18500.0
ENCINAL ROAD/LIVE OAK BOULEVARD [7831],0: All Days (M-Su),7831,1,1,,18500.0,18300.0,18400.0
EAGER ROAD [7829],0: All Days (M-Su),7829,1,1,,18300.0,22100.0,20200.0
"YUBA CITY, QUEENS AVENUE [7827]",0: All Days (M-Su),7827,1,1,,22100.0,22200.0,22150.0
"YUBA CITY, JCT. RTE. 20 [7825]",0: All Days (M-Su),7825,1,1,,22200.0,32500.0,27350.0
"YUBA CITY, BRIDGE STREET [7821]",0: All Days (M-Su),7821,1,1,,35000.0,35500.0,35250.0
FRANKLIN ROAD [7819],0: All Days (M-Su),7819,1,1,,35500.0,34500.0,35000.0
"YUBA CITY, LINCOLN ROAD [7817]",0: All Days (M-Su),7817,1,1,,22200.0,21800.0,22000.0
BOGUE ROAD [7815],0: All Days (M-Su),7815,1,1,,18300.0,22300.0,20300.0
BARRY ROAD [7813],0: All Days (M-Su),7813,1,1,,22300.0,22100.0,22200.0
JCT. RTE. 113 [7809],0: All Days (M-Su),7809,1,1,,16800.0,16300.0,16550.0
FEATHER RIVER BRIDGE [7805],0: All Days (M-Su),7805,1,1,,18500.0,18500.0,18500.0
JCT. RTE. 70 NORTH [7801],0: All Days (M-Su),7801,1,1,,17600.0,36000.0,26800.0
RIEGO ROAD [7799],0: All Days (M-Su),7799,1,1,,47000.0,47000.0,47000.0
ELVERTA ROAD [7793],0: All Days (M-Su),7793,1,1,,47000.0,72000.0,59500.0
ELKHORN BOULEVARD [7791],0: All Days (M-Su),7791,1,1,,72000.0,72000.0,72000.0
"SACRAMENTO, 12TH AVENUE [7788]",0: All Days (M-Su),7788,1,1,,190000.0,180000.0,185000.0
"SACRAMENTO, FRUITRIDGE ROAD [7785]",0: All Days (M-Su),7785,1,1,,180000.0,182000.0,181000.0
47TH AVENUE [7781],0: All Days (M-Su),7781,1,1,,171000.0,141000.0,156000.0
FLORIN ROAD [7779],0: All Days (M-Su),7779,1,1,,141000.0,176000.0,158500.0
"SACRAMENTO, MACK ROAD [7777]",0: All Days (M-Su),7777,1,1,,176000.0,176000.0,176000.0
DULUTH AVENUE [7773],0: All Days (M-Su),7773,1,1,,161000.0,135000.0,148000.0
SHELDON ROAD [7767],0: All Days (M-Su),7767,1,1,,122000.0,134000.0,128000.0
LAGUNA BOULEVARD/ BOND ROAD [7765],0: All Days (M-Su),7765,1,1,,134000.0,112000.0,123000.0
ELK GROVE BOULEVARD [7763],0: All Days (M-Su),7763,1,1,,112000.0,83000.0,97500.0
GRANT LINE ROAD [7761],0: All Days (M-Su),7761,1,1,,83000.0,85000.0,84000.0
DILLARD ROAD [7757],0: All Days (M-Su),7757,1,1,,89000.0,84000.0,86500.0
ARNO ROAD [7755],0: All Days (M-Su),7755,1,1,,84000.0,83000.0,83500.0
JCT. RTE. 104 EAST [7751],0: All Days (M-Su),7751,1,1,,78000.0,76000.0,77000.0
WALNUT STREET CONNECTION [7749],0: All Days (M-Su),7749,1,1,,76000.0,77000.0,76500.0
"GALT, C STREET [7743]",0: All Days (M-Su),7743,1,1,,78000.0,76000.0,77000.0
