location,daytype_expected,daytype_used,daypart_used,modeoftravel_used,ahead_zones,behind_zones,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,missing_ahead_zones,missing_behind_zones,non_trad_dir_means,dir_present_counts,dir_missing_zones
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET [13117,13118]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 160880|San Gabriel River Freeway / 160881,San Gabriel River Freeway / 6739504|San Gabriel River Freeway / 19247825,,,182041.5,2,2,2,2,2,2,,,northbound=88651.5|southbound=93390.0,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"BALDWIN PARK, JCT. RTE. 10 [13113,13114]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 19171162|San Gabriel River Freeway / 7368478,San Gabriel River Freeway / 164740|San Gabriel River Freeway / 164736,,,217678.5,2,2,2,2,2,2,,,northbound=102099.0|southbound=115579.5,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"INDUSTRY, VALLEY BOULEVARD [13111,13112]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 164740|San Gabriel River Freeway / 164736,San Gabriel River Freeway / 703991|San Gabriel River Freeway / 705638,,,238481.0,2,2,2,2,2,2,,,northbound=114191.5|southbound=124289.5,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"INDUSTRY, JCT. RTE. 60 [13109,13110]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 703991|San Gabriel River Freeway / 705638,San Gabriel River Freeway / 1698720|San Gabriel River Freeway / 2730673,,,234938.0,2,2,2,2,2,2,,,northbound=117320.0|southbound=117618.0,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"PICO RIVERA, ROSE HILLS ROAD [13105,13106]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 8402350|San Gabriel River Freeway / 9176481,San Gabriel River Freeway / 164212|San Gabriel River Freeway / 673791,,,241688.5,2,2,2,2,2,2,,,northbound=121911.0|southbound=119777.5,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"WHITTIER, JCT. RTE. 72 [13101,13102]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 12790206|San Gabriel River Freeway / 8144057,San Gabriel River Freeway / 689516|San Gabriel River Freeway / 1283676,,,244463.5,2,2,2,2,2,2,,,northbound=123304.0|southbound=121159.5,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"NORWALK, IMPERIAL HIGHWAY [13089,13090]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 1292558|San Gabriel River Freeway / 43294,San Gabriel River Freeway / 36648843|San Gabriel River Freeway / 118798,,,222900.5,2,2,2,2,2,2,,,northbound=101632.5|southbound=121268.0,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"NORWALK, ROSECRANS AVENUE [13085,13086]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 18987883|San Gabriel River Freeway / 118696,San Gabriel River Freeway / 1292560|San Gabriel River Freeway / 23409847,,,208455.5,2,2,2,2,2,2,,,northbound=100266.0|southbound=108189.5,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"NORWALK, ALONDRA BOULEVARD [13084,13083]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 13815791|San Gabriel River Freeway / 118843,San Gabriel River Freeway / 4404474|San Gabriel River Freeway / 118944,,,248144.5,2,2,2,2,2,2,,,northbound=115067.5|southbound=133077.0,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
"CERRITOS, JCT. RTE. 91 [13081,13082]",0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),All Vehicles - StL All Vehicles Volume,San Gabriel River Freeway / 4404474|San Gabriel River Freeway / 118944,San Gabriel River Freeway / 119733|San Gabriel River Freeway / 45717,,,233885.5,2,2,2,2,2,2,,,northbound=111131.5|southbound=122754.0,"northbound(ahead 1/1, behind 1/1)|southbound(ahead 1/1, behind 1/1)",northbound_ahead_missing=;northbound_behind_missing=|southbound_ahead_missing=;southbound_behind_missing=
