location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,non_trad_aadt,tce_percent
BARRY ROAD,22300.0,22100.0,22200.0,26227.0,25262.0,1,1,1,1,1,1,CA 99 / 683020,CA 99 / 713219,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7813,1,1,25744.5,15.966216216216216
BIGGS HIGHWAY,11200.0,14300.0,12750.0,13778.0,15217.0,1,1,1,1,1,1,CA 99 / 70189,CA 99 / 720583,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7847,1,1,14497.5,13.705882352941176
BOGUE ROAD,18300.0,22300.0,20300.0,28597.0,26227.0,1,1,1,1,1,1,CA 99 / 69539,CA 99 / 683020,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7815,1,1,27412.0,35.03448275862069
BROYLES ROAD,14700.0,12900.0,13800.0,10800.0,12501.0,1,1,1,1,1,1,CA 99 / 185206,CA 99 / 185165,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7879,1,1,11650.5,-15.576086956521738
ENCINAL ROAD/LIVE OAK BOULEVARD,18500.0,18300.0,18400.0,20874.0,18867.0,1,1,1,1,1,1,Live Oak Boulevard / 69780,CA 99 / 690970,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7831,1,1,19870.5,7.991847826086956
FRANKLIN ROAD,35500.0,34500.0,35000.0,34314.0,33729.0,1,1,1,1,1,1,CA 99 / 1303764,CA 99 / 1302697,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7819,1,1,34021.5,-2.795714285714286
"GRIDLEY, SPRUCE STREET",21100.0,22300.0,21700.0,15217.0,18515.0,1,1,1,1,1,1,CA 99 / 720583,CA 99 / 713069,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7845,1,1,16866.0,-22.276497695852534
"GRIDLEY, WILSON STREET",19900.0,19600.0,19750.0,19124.0,16306.0,1,1,1,1,1,1,CA 99 / 16880739,CA 99 / 693872,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7843,1,1,17715.0,-10.30379746835443
JCT. RTE. 162 EAST,12300.0,12100.0,12200.0,12367.0,13679.0,1,1,1,1,1,1,CA 99 / 1302938,CA 99;CA 162 / 22187531,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7851,1,1,13023.0,6.745901639344262
JCT. RTE. 162 WEST,12100.0,11800.0,11950.0,13679.0,13778.0,1,1,1,1,1,1,CA 99;CA 162 / 22187531,CA 99 / 70189,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7849,1,1,13728.5,14.882845188284518
KEEFER ROAD,15700.0,15300.0,15500.0,13051.0,13616.0,1,1,1,1,1,1,CA 99 / 185159,CA 99 / 185106,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7877,1,1,13333.5,-13.977419354838709
NELSON SHIPPEE ROAD,11100.0,13400.0,12250.0,12613.0,12367.0,1,1,1,1,1,1,CA 99 / 712588,CA 99 / 1302938,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7853,1,1,12490.0,1.9591836734693877
"YUBA CITY, BRIDGE STREET",35000.0,35500.0,35250.0,32031.0,34314.0,1,1,1,1,1,1,CA 99 / 683549,CA 99 / 1303764,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7821,1,1,33172.5,-5.8936170212765955
"YUBA CITY, LINCOLN ROAD",22200.0,21800.0,22000.0,31175.0,28597.0,1,1,1,1,1,1,CA 99 / 693786,CA 99 / 69539,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7817,1,1,29886.0,35.845454545454544
