location,objectids,n_objectids,n_found_in_tc,ahead_zones,behind_zones,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,tce_percent,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,missing_ahead_zones,missing_behind_zones
ELKHORN BOULEVARD,7791,1,1,Golden State Highway / 190363|CA 99 / 190364,Golden State Highway / 1700995|CA 99 / 190201,72000.0,72000.0,72000.0,,,29818.5,-58.58541666666667,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 190364,CA 99 / 190201
ELVERTA ROAD,7793,1,1,Golden State Highway / 62778|CA 99 / 10478428,Golden State Highway / 190363|CA 99 / 190364,47000.0,72000.0,59500.0,,,26228.5,-55.918487394957985,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 10478428,CA 99 / 190364
PENTZ ROAD,7857,1,1,CA 99 / 185590|CA 99 / 185591,CA 99 / 70538|CA 99 / 185577,21100.0,19400.0,20250.0,,,30309.5,49.67654320987654,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
RIEGO ROAD,7799,1,1,Golden State Highway / 14677099|CA 99 / 15435840,Golden State Highway / 17457767|CA 99 / 10478428,47000.0,47000.0,47000.0,,,24288.5,-48.32234042553191,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 15435840,CA 99 / 10478428
EAST AVENUE,7871,1,1,CA 99 / 185087|CA 99 / 185088,CA 99 / 185045|CA 99 / 185041,64000.0,39000.0,51500.0,,,30755.0,-40.28155339805825,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"CHICO, COHASSET HIGHWAY",7869,1,1,CA 99 / 185045|CA 99 / 185041,CA 99 / 185287|CA 99 / 185012,63000.0,64000.0,63500.0,,,40686.0,-35.92755905511811,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"YUBA CITY, LINCOLN ROAD",7817,1,1,CA 99 / 693786,CA 99 / 69539,22200.0,21800.0,22000.0,,,29886.0,35.845454545454544,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
BOGUE ROAD,7815,1,1,CA 99 / 69539,CA 99 / 683020,18300.0,22300.0,20300.0,,,27412.0,35.03448275862069,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
NEAL HIGHWAY,7859,1,1,CA 99 / 185596|CA 99 / 185597,CA 99 / 185590|CA 99 / 185591,24000.0,24000.0,24000.0,,,31788.0,32.45,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"CHICO, EAST FIRST AVENUE",7867,1,1,CA 99 / 185287|CA 99 / 185012,Highway 99 / 3236621|Highway 99 / 185312,64000.0,82000.0,73000.0,,,52003.0,-28.763013698630136,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
