location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,tce_percent
"BALDWIN PARK, JCT. RTE. 10",182000.0,220000.0,201000.0,,,217678.5,2,2,2,2,2,2,San Gabriel River Freeway / 19171162|San Gabriel River Freeway / 7368478,San Gabriel River Freeway / 164740|San Gabriel River Freeway / 164736,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13113,1,1,8.297761194029851
"CERRITOS, JCT. RTE. 91",278000.0,228000.0,253000.0,,,233885.5,2,2,2,2,2,2,San Gabriel River Freeway / 4404474|San Gabriel River Freeway / 118944,San Gabriel River Freeway / 119733|San Gabriel River Freeway / 45717,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13081,1,1,-7.555138339920949
"INDUSTRY, JCT. RTE. 60",212000.0,234000.0,223000.0,,,234938.0,2,2,2,2,2,2,San Gabriel River Freeway / 703991|San Gabriel River Freeway / 705638,San Gabriel River Freeway / 1698720|San Gabriel River Freeway / 2730673,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13109,1,1,5.353363228699552
"INDUSTRY, VALLEY BOULEVARD",220000.0,212000.0,216000.0,,,238481.0,2,2,2,2,2,2,San Gabriel River Freeway / 164740|San Gabriel River Freeway / 164736,San Gabriel River Freeway / 703991|San Gabriel River Freeway / 705638,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13111,1,1,10.40787037037037
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET",163000.0,176000.0,169500.0,,,182041.5,2,2,2,2,2,2,San Gabriel River Freeway / 160880|San Gabriel River Freeway / 160881,San Gabriel River Freeway / 6739504|San Gabriel River Freeway / 19247825,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13117,1,1,7.399115044247788
"NORWALK, ALONDRA BOULEVARD",280000.0,278000.0,279000.0,,,248144.5,2,2,2,2,2,2,San Gabriel River Freeway / 13815791|San Gabriel River Freeway / 118843,San Gabriel River Freeway / 4404474|San Gabriel River Freeway / 118944,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13083,1,1,-11.05931899641577
"NORWALK, IMPERIAL HIGHWAY",276000.0,276000.0,276000.0,,,222900.5,2,2,2,2,2,2,San Gabriel River Freeway / 1292558|San Gabriel River Freeway / 43294,San Gabriel River Freeway / 36648843|San Gabriel River Freeway / 118798,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13089,1,1,-19.23894927536232
"NORWALK, ROSECRANS AVENUE",280000.0,280000.0,280000.0,,,208455.5,2,2,2,2,2,2,San Gabriel River Freeway / 18987883|San Gabriel River Freeway / 118696,San Gabriel River Freeway / 1292560|San Gabriel River Freeway / 23409847,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13085,1,1,-25.551607142857144
"PICO RIVERA, ROSE HILLS ROAD",240000.0,233000.0,236500.0,,,241688.5,2,2,2,2,2,2,San Gabriel River Freeway / 8402350|San Gabriel River Freeway / 9176481,San Gabriel River Freeway / 164212|San Gabriel River Freeway / 673791,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13105,1,1,2.1938689217758984
"WHITTIER, JCT. RTE. 72",230000.0,221000.0,225500.0,,,244463.5,2,2,2,2,2,2,San Gabriel River Freeway / 12790206|San Gabriel River Freeway / 8144057,San Gabriel River Freeway / 689516|San Gabriel River Freeway / 1283676,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,13101,1,1,8.409534368070954
