location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,tce_percent
47TH AVENUE,171000.0,141000.0,156000.0,,,180480.5,2,2,2,2,2,2,South Sacramento Freeway / 193001|South Sacramento Freeway / 6282898,South Sacramento Freeway / 193022|South Sacramento Freeway / 73027,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7781,1,1,15.692628205128205
ARNO ROAD,84000.0,83000.0,83500.0,,,80750.5,2,2,2,2,2,2,South Sacramento Freeway / 70493|South Sacramento Freeway / 188716,South Sacramento Freeway / 10980779|South Sacramento Freeway / 9947986,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7755,1,1,-3.292814371257485
BARRY ROAD,22300.0,22100.0,22200.0,,,25744.5,1,1,1,1,1,1,CA 99 / 683020,CA 99 / 713219,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7813,1,1,15.966216216216216
BIGGS HIGHWAY,11200.0,14300.0,12750.0,,,14497.5,1,1,1,1,1,1,CA 99 / 70189,CA 99 / 720583,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7847,1,1,13.705882352941176
BOGUE ROAD,18300.0,22300.0,20300.0,,,27412.0,1,1,1,1,1,1,CA 99 / 69539,CA 99 / 683020,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7815,1,1,35.03448275862069
BROYLES ROAD,14700.0,12900.0,13800.0,,,12273.0,1,1,1,1,1,1,CA 99 / 185209,CA 99 / 185165,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7879,1,1,-11.065217391304348
"CHICO, COHASSET HIGHWAY",63000.0,64000.0,63500.0,,,40686.0,2,2,2,2,2,2,CA 99 / 185041|CA 99 / 185045,CA 99 / 185012|CA 99 / 185287,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7869,1,1,-35.92755905511811
"CHICO, EAST FIRST AVENUE",64000.0,82000.0,73000.0,,,52757.5,2,2,2,2,2,2,CA 99 / 185012|CA 99 / 185287,Highway 99 / 5232036|Highway 99 / 3236621,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7867,1,1,-27.72945205479452
"CHICO, JCT. RTE. 32 EAST",82000.0,55000.0,68500.0,,,56300.5,2,2,2,2,2,2,Highway 99 / 185312|Highway 99 / 3236622,CA 99 / 185347|CA 99 / 22607112,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7865,1,1,-17.80948905109489
"CHICO, SKYWAY OVERCROSSING",28000.0,28000.0,28000.0,,,17968.0,1,1,1,1,1,1,CA 99 / 185451,CA 99 / 185554,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7862,1,1,-35.82857142857143
