location,objectids,n_objectids,n_found_in_tc,ahead_zones,behind_zones,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,tce_percent,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,missing_ahead_zones,missing_behind_zones
"BALDWIN PARK, JCT. RTE. 10",13113|13114,2,2,San Gabriel River Freeway / 19171162|San Gabriel River Freeway / 23240119,San Gabriel River Freeway / 18695412|San Gabriel River Freeway / 62623,182000.0,220000.0,201000.0,211865.0,235578.0,223721.5,11.304228855721393,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"CERRITOS, JCT. RTE. 91",13081|13082,2,2,San Gabriel River Freeway / 15650683|San Gabriel River Freeway / 45330,San Gabriel River Freeway / 17325939|San Gabriel River Freeway / 45717,278000.0,228000.0,253000.0,222263.0,240159.0,231211.0,-8.612252964426878,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"INDUSTRY, JCT. RTE. 60",13109|13110,2,2,San Gabriel River Freeway / 18665945|San Gabriel River Freeway / 13434006,San Gabriel River Freeway / 705638|San Gabriel River Freeway / 17555043,212000.0,234000.0,223000.0,219783.0,223780.0,221781.5,-0.5464125560538117,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"INDUSTRY, VALLEY BOULEVARD",13111|13112,2,2,San Gabriel River Freeway / 686634|San Gabriel River Freeway / 703991,San Gabriel River Freeway / 62623|San Gabriel River Freeway / 705638,220000.0,212000.0,216000.0,224989.0,252998.0,238993.5,10.645138888888889,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET",13117|13118,2,2,San Gabriel River Freeway / 60501|San Gabriel River Freeway / 17825964,San Gabriel River Freeway / 62770|San Gabriel River Freeway / 19247825,163000.0,176000.0,169500.0,177303.0,186780.0,182041.5,7.399115044247788,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"NORWALK, ALONDRA BOULEVARD",13084|13083,2,2,San Gabriel River Freeway / 13815791|San Gabriel River Freeway / 15650683,San Gabriel River Freeway / 35978|San Gabriel River Freeway / 15851885,280000.0,278000.0,279000.0,230135.0,255529.0,242832.0,-12.963440860215053,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"NORWALK, IMPERIAL HIGHWAY",13089|13090,2,2,San Gabriel River Freeway / 1292558|San Gabriel River Freeway / 36182,San Gabriel River Freeway / 43294|San Gabriel River Freeway / 699066,276000.0,276000.0,276000.0,176750.0,218504.0,197627.0,-28.396014492753622,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"NORWALK, ROSECRANS AVENUE",13085|13086,2,2,San Gabriel River Freeway / 18987883|San Gabriel River Freeway / 13303859,San Gabriel River Freeway / 657856|San Gabriel River Freeway / 23409847,280000.0,280000.0,280000.0,198875.0,216651.0,207763.0,-25.798928571428572,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"PICO RIVERA, ROSE HILLS ROAD",13105|13106,2,2,San Gabriel River Freeway / 19894523|San Gabriel River Freeway / 703999,San Gabriel River Freeway / 20053622|San Gabriel River Freeway / 673791,240000.0,233000.0,236500.0,243822.0,239555.0,241688.5,2.1938689217758984,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"WHITTIER, JCT. RTE. 72",13101|13102,2,2,San Gabriel River Freeway / 23806759|San Gabriel River Freeway / 689516,San Gabriel River Freeway / 19085288|San Gabriel River Freeway / 1283676,230000.0,221000.0,225500.0,246608.0,242319.0,244463.5,8.409534368070954,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
