location,daytype,objectids,n_objectids,n_found_in_tc,missing_objectids,traditional_ahead_mean,traditional_behind_mean,traditional_aadt
BROYLES ROAD,0: All Days (M-Su),7879,1,1,,14700.0,12900.0,13800.0
KEEFER ROAD,0: All Days (M-Su),7877,1,1,,15700.0,15300.0,15500.0
EATON AVENUE,0: All Days (M-Su),"7874,7873",2,2,,21500.0,31500.0,26500.0
EAST AVENUE,0: All Days (M-Su),"7872,7871",2,2,,64000.0,39000.0,51500.0
"CHICO, COHASSET HIGHWAY",0: All Days (M-Su),"7870,7869",2,2,,63000.0,64000.0,63500.0
"CHICO, EAST FIRST AVENUE",0: All Days (M-Su),"7868,7867",2,2,,64000.0,82000.0,73000.0
"CHICO, JCT. RTE. 32 EAST",0: All Days (M-Su),"7866,7865",2,2,,82000.0,55000.0,68500.0
EAST 20TH STREET,0: All Days (M-Su),"7864,7863",2,2,,55000.0,43000.0,49000.0
"CHICO, SKYWAY OVERCROSSING",0: All Days (M-Su),"7862,7861",2,2,,28000.0,28000.0,28000.0
NEAL HIGHWAY,0: All Days (M-Su),"7860,7859",2,2,,24000.0,24000.0,24000.0
PENTZ ROAD,0: All Days (M-Su),"7858,7857",2,2,,21100.0,19400.0,20250.0
JCT. RTE 149,0: All Days (M-Su),"7856,7855",2,2,,25500.0,11100.0,18300.0
NELSON SHIPPEE ROAD,0: All Days (M-Su),7853,1,1,,11100.0,13400.0,12250.0
JCT. RTE. 162 EAST,0: All Days (M-Su),7851,1,1,,12300.0,12100.0,12200.0
JCT. RTE. 162 WEST,0: All Days (M-Su),7849,1,1,,12100.0,11800.0,11950.0
BIGGS HIGHWAY,0: All Days (M-Su),7847,1,1,,11200.0,14300.0,12750.0
"GRIDLEY, SPRUCE STREET",0: All Days (M-Su),7845,1,1,,21100.0,22300.0,21700.0
"GRIDLEY, WILSON STREET",0: All Days (M-Su),7843,1,1,,19900.0,19600.0,19750.0
"LIVE OAK, PENNINGTON ROAD",0: All Days (M-Su),"7834,7833",2,2,,19700.0,17300.0,18500.0
ENCINAL ROAD/LIVE OAK BOULEVARD,0: All Days (M-Su),7831,1,1,,18500.0,18300.0,18400.0
EAGER ROAD,0: All Days (M-Su),"7830,7829",2,2,,18300.0,22100.0,20200.0
"YUBA CITY, QUEENS AVENUE",0: All Days (M-Su),"7828,7827",2,2,,22100.0,22200.0,22150.0
"YUBA CITY, JCT. RTE. 20",0: All Days (M-Su),"7826,7825",2,2,,22200.0,32500.0,27350.0
"YUBA CITY, BRIDGE STREET",0: All Days (M-Su),7821,1,1,,35000.0,35500.0,35250.0
FRANKLIN ROAD,0: All Days (M-Su),7819,1,1,,35500.0,34500.0,35000.0
"YUBA CITY, LINCOLN ROAD",0: All Days (M-Su),7817,1,1,,22200.0,21800.0,22000.0
BOGUE ROAD,0: All Days (M-Su),7815,1,1,,18300.0,22300.0,20300.0
BARRY ROAD,0: All Days (M-Su),7813,1,1,,22300.0,22100.0,22200.0
JCT. RTE. 113,0: All Days (M-Su),"7810,7809",2,2,,16800.0,16300.0,16550.0
FEATHER RIVER BRIDGE,0: All Days (M-Su),"7806,7809",2,2,,17650.0,17400.0,17525.0
JCT. RTE. 70 NORTH,0: All Days (M-Su),"7802,7801",2,2,,17600.0,36000.0,26800.0
RIEGO ROAD,0: All Days (M-Su),"7800,7799",2,2,,47000.0,47000.0,47000.0
ELVERTA ROAD,0: All Days (M-Su),"7794,7793",2,2,,47000.0,72000.0,59500.0
ELKHORN BOULEVARD,0: All Days (M-Su),"7792,7791",2,2,,72000.0,72000.0,72000.0
"SACRAMENTO, 12TH AVENUE",0: All Days (M-Su),"7788,7787",2,2,,190000.0,180000.0,185000.0
"SACRAMENTO, FRUITRIDGE ROAD",0: All Days (M-Su),"7786,7785",2,2,,180000.0,182000.0,181000.0
47TH AVENUE,0: All Days (M-Su),"7782,7781",2,2,,171000.0,141000.0,156000.0
FLORIN ROAD,0: All Days (M-Su),"7780,7779",2,2,,141000.0,176000.0,158500.0
"SACRAMENTO, MACK ROAD",0: All Days (M-Su),"7778,7777",2,2,,176000.0,176000.0,176000.0
DULUTH AVENUE,0: All Days (M-Su),"7774,7773",2,2,,161000.0,135000.0,148000.0
SHELDON ROAD,0: All Days (M-Su),"7768,7767",2,2,,122000.0,134000.0,128000.0
LAGUNA BOULEVARD/ BOND ROAD,0: All Days (M-Su),"7766,7765",2,2,,134000.0,112000.0,123000.0
ELK GROVE BOULEVARD,0: All Days (M-Su),"7764,7763",2,2,,112000.0,83000.0,97500.0
GRANT LINE ROAD,0: All Days (M-Su),"7762,7761",2,2,,83000.0,85000.0,84000.0
DILLARD ROAD,0: All Days (M-Su),"7758,7757",2,2,,89000.0,84000.0,86500.0
ARNO ROAD,0: All Days (M-Su),"7756,7755",2,2,,84000.0,83000.0,83500.0
JCT. RTE. 104 EAST,0: All Days (M-Su),"7752,7751",2,2,,78000.0,76000.0,77000.0
WALNUT STREET CONNECTION,0: All Days (M-Su),"7750,7749",2,2,,76000.0,77000.0,76500.0
"GALT, C STREET",0: All Days (M-Su),"7744,7743",2,2,,78000.0,76000.0,77000.0
